,Sentence,Label,Dataset,trans_lang_choose,trans_lang,from_en,to_en
6674,"It 's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress .",1,train,si,zu,"It 's kanzima obakhathalelayo ifilimu ukuthi luphakamisa njengoba nhlekelele yeqhawe ngokuhlupheka callow umfana ocebile abhekana nabo lapho uphoqelekile ukuba ukhethe phakathi enhle, intombi yakhe self-wanelisa oneminyaka engu-22 ubudala futhi eneminyaka engu-18-enhle ngokulinganayo, ukuzingabaza, wanelisa senkosikazi -old.","It 's hard to care about a film that raises a warrior as disaster Callow suffering a rich boy when he is forced to choose between good, his girlfriend, self-catered 22-year-old and 18-year-equally beautiful, self-catered -old mistress."
6675,"In his role of observer of the scene , Lawrence sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature .",1,train,fr,ku,"Di rola xwe ya çavdêr cihê bûyerê, Lawrence dengên whiny û xweparêz, wek ku serpêhatiyên jiyana-hawê xwe kir wî tal û kêmtir gihîştî.","In the role of an observer of the scene, Lawrence White and sounds defensive, as his life-altering experience of his bitter and less mature."
6676,"A vibrant whirlwind of love , family and all that goes with it , My Big Fat Greek Wedding is a non-stop funny feast of warmth , colour and cringe .",4,train,is,gd,"A beothail Whirlwind a 'ghaoil, an teaghlach agus na h-uile a' dol leis, My Big Fat Greugais Wedding 'S e neo-stad èibhinn cuirm de blàths, dath agus cringe.","A vibrant Whirlwind of love, family and all that goes with it, My Big Fat Greek Wedding 'is a non-stop feast of comic warmth, color and cringe."
6677,"... bright , intelligent , and humanly funny film .",4,train,ga,am,"... ብሩህ, አስተዋይ, እና ሊፈጸሙ አስቂኝ ፊልም.","... a bright, intelligent, funny and executed film."
6678,A film that will enthrall the whole family .,3,train,lv,mi,He kiriata e ka tu'unga te whānau katoa.,A film that will position the whole family.
6679,The young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .,1,train,haw,ro,Tinerii stele sunt prea drăguț; povestea și care decurg complicatiile sunt prea manipulativ; mesajul este prea flagrantă; rezoluțiile sunt prea convenabile.,Young stars are too cute; story and resulting complications are too manipulative; message is too blatant; Resolutions are too convenient.
6680,"Though Harris is affecting at times , he can not overcome the sense that Pumpkin is a mere plot pawn for two directors with far less endearing disabilities .",1,train,sr,et,"Kuigi Harris mõjutab kohati ta ei suuda ületada mõttes, et kõrvits on pelgalt krundi ettur kahe direktorid palju vähem armastust puudega.",Although Harris influences at times he can not overcome the sense that the pumpkin is a mere pawn in the plot of two directors lot less endearing disabled.
6681,... hokey art house pretension .,1,train,gu,tl,... hokey art house pagyayabang.,... hokey art house pretension.
6682,The movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .,0,train,pl,ps,د فلم ونشي څه په توګه خپل literarily تکړه او بدنامه موضوع ډیر یو چټل زوړ سړي څخه مبالغه شوې ده.,What the film fails as exaggerated his literarily talented and notorious issue is a dirty old man.
6683,Warm and exotic .,3,train,so,ru,Теплый и экзотическое.,Warm and exotic.
6684,"For a film that 's being advertised as a comedy , Sweet Home Alabama is n't as funny as you 'd hoped .",1,train,he,ur,ایک فلم ہے کہ کے لئے ڈی امید ظاہر کی ایک مزاحیہ کے طور پر مشتہر کیا جا رہا ہے، پیارا گھر الباما آپ کے طور پر کے طور پر مضحکہ خیز نہیں ہے '.,"Is being advertised as a comedy show de hope for a movie, Sweet Home Alabama is not as funny as you."
6685,"There might be some sort of credible gender-provoking philosophy submerged here , but who the hell cares ?",1,train,hu,hy,"Այստեղ կարող է լինել ինչ - որ տեսակի վստահելի գենդերային զայրացուցիչ փիլիսոփայության ընկղմված այստեղ, բայց ով է դժոխք հոգ է տանում:","There may be some sort of reliable gender-provoking philosophy submerged here, but who the hell cares?"
6686,"Personal Velocity has a no-frills docu-Dogma plainness , yet Miller lingers on invisible , nearly psychic nuances , leaping into digressions of memory and desire .",2,train,zu,mt,"Personali Velocity għandha ebda frills doku-Domma plainness, għadha Miller lingers fuq inviżibbli, sfumaturi kważi psikika, leaping fis digressions ta 'memorja u x-xewqa.","Personal Velocity has no-frills Dogma document plainness, Miller still lingers on invisible, almost psychic nuances, leaping into digressions of memory and desire."
6687,Your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,2,train,ps,kn,ಇದು ನಿಮ್ಮ ಮೆಚ್ಚುಗೆ ಅನುಭವಿಸುತ್ತದೆ ಎಂಬುದನ್ನು ನೀವು ತರಲು ಮತ್ತು ನೀವು ಮಾಡಲು ಆಯ್ಕೆ ಸಂಘಗಳು ಅವಲಂಬಿಸಿರುತ್ತದೆ.,It's what you bring to your appreciation of the experience and if you choose to do will depend on the trade unions.
6688,It must be in the genes .,2,train,sw,lb,Et muss an de Genen ginn.,It must be in the genes.
6689,This is one of the outstanding thrillers of recent years .,4,train,ny,sm,O le tasi lenei o le thrillers mataʻina o tausaga talu ai nei.,This is one of the thrillers outstanding recent years.
6690,"This is popcorn movie fun with equal doses of action , cheese , ham and cheek ( as well as a serious debt to The Road Warrior ) , but it feels like unrealized potential",3,train,ka,sv,"Detta är popcorn film kul med lika stora doser av action, ost, skinka och kind (liksom en allvarlig skuld till The Road Warrior), men det känns som orealiserad potential","This is a popcorn movie fun with equal doses of action, cheese, ham and cheek (as well as a serious debt to The Road Warrior), but it feels as unrealized potential"
6691,The fact that the ` best part ' of the movie comes from a 60-second homage to one of Demme 's good films does n't bode well for the rest of it .,1,train,am,zh-cn,该`最好的部分“的电影都来自一个60秒的敬意戴米的一个人的好电影的事实并不为它的休息好兆头。,The fact that a person's tribute to the best part of the '' movie came from a 60-second Demme good movie does not bode well for the rest of it.
6692,`` The best Disney movie since the Lion King '',4,train,sd,en,`` The best Disney movie since the Lion King '',`` The best Disney movie since the Lion King ''
6693,A fanciful drama about Napoleon 's last years and his surprising discovery of love and humility .,4,train,id,ps,ناپلیون د تېرو کلونو کې او د هغه د مينې او تواضع د حیرانتیا خبره کشف په اړه يو خيالي ډرامه.,"Napoleonic past years and his love and humility, a fictional drama about the discovery surprising."
6694,The moral shrapnel and mental shellshock will linger long after this film has ended .,3,train,lo,ko,이 영화가 종료 된 후 도덕적 파편과 정신 셸 쇼크 오래 머무르게됩니다.,"After the movie ended, and you'll stay longer moral and mental debris shell shock."
6695,None of Birthday Girl 's calculated events take us by surprise ...,1,train,ur,ta,பிறந்தநாள் கேர்ள் 'ங்கள் கணக்கிடப்படுகிறது நிகழ்வுகள் எதுவும் ஆச்சரியம் எங்களுக்கு எடுத்து ...,Birthday Girl 's CCD No events have taken us by surprise ...
6696,"( Caine ) proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .",3,train,km,ceb,"(Caine) nagpamatuod sa makausa pag-usab nga dili siya nawad-an sa iyang paghikap, nga nagdala sa usa ka maambong nga performance sa usa ka tinuod middling pelikula.","(Caine) proved once again that he lost his touch, bringing a superb performance in a real movie middling."
6697,"This makes Minority Report necessary viewing for sci-fi fans , as the film has some of the best special effects ever .",4,train,sk,si,"චිත්රපටය හොදම විශේෂ ප්රයෝග සමහර කර ඇති පරිදි මෙය, Sci-Fi පංකා සඳහා අවශ්ය නැරඹීමේ සුළු ජාතීන්ගේ වාර්තාව කරයි.","The film has some of the best special effects this, Sci-Fi minority report viewing for fans."
6698,Beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly .,4,train,ny,my,လှလှပပထွင်းထုနှင့် cooly မငြိမ် ... ကျွမ်းကျင်စွာပြစ်မှုများ၏လေထု recreates ။,Beautifully carved and cooly unsettling atmosphere of the crime ... skillfully recreates.
6699,When the twist endings were actually surprising ?,2,train,mr,kk,Twist жалғаулары шын мәнінде таң кезде?,Twist endings when you really surprised?
6700,"After you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .",0,train,mi,ar,بعد تضحك مرة واحدة (ربما مرتين)، وكنت قد نسيت تماما الفيلم في الوقت الذي نعود لسيارتك في موقف للسيارات.,"After laugh once (maybe twice), and I had completely forgotten the film at the time we go back to your car in the parking lot."
6701,It is Scott 's convincing portrayal of Roger the sad cad that really gives the film its oomph .,3,train,es,mt,Huwa ta 'Scott konvinċenti turija tal Roger l CAD diqa li verament tagħti l-film oomph tagħha.,It is a convincing demonstration of Roger Scott the CAD sad really gives the film its oomph.
6702,` Tobey Maguire is a poster boy for the geek generation . ',2,train,tl,ms,`Tobey Maguire adalah seorang budak poster untuk generasi geek. ',`Tobey Maguire is a poster boy for the geek generation. '
6703,"Humorous and heartfelt , Douglas McGrath 's version of ` Nicholas Nickleby ' left me feeling refreshed and hopeful .",4,train,nl,ka,"იუმორისტული და გულწრფელი, Douglas McGrath 's მობილური `Nicholas Nickleby"" დაუტოვებიათ მე შეგრძნება განახლებული და იმედიანი.","hilarious and heartfelt, Douglas McGrath 's version of `Nicholas Nickleby"" I left feeling refreshed and hopeful."
6704,"For its 100 minutes running time , you 'll wait in vain for a movie to happen .",0,train,ceb,vi,"100 phút của thời gian chạy, bạn sẽ chờ đợi trong vô vọng cho một bộ phim xảy ra.","100 minutes of running time, you will wait in vain for a movie happen."
6705,Diverting French comedy in which a husband has to cope with the pesky moods of jealousy .,2,train,la,jw,Ngalihake komedi Perancis kang bojo wis kanggo ngrampungake karo swasana manah pesky butarepan.,Diverting comedy France's wife had to cope with moods pesky jealousy.
6706,It 's a 100-year old mystery that is constantly being interrupted by Elizabeth Hurley in a bathing suit .,2,train,pl,my,အဲဒါကို 'အဆက်မပြတ်တစ်ရေချိုးဝတ်စုံအတွက်အယ်လီဇဘတ် Hurley နေဖြင့်ကြားဖြတ်ခံရကြောင်း 100 နှစ်အရွယ်နက်နဲသောအရာပါ။,"It is constantly in a bathing suit Elizabeth Hurley, were intercepted by the 100-year-old mystery."
6707,"An ugly , revolting movie .",1,train,ko,be,"Непрыгожа, паўстаючы кіно.","Ugly, revolting movies."
6708,"Maggie Smith as the Ya-Ya member with the O2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment .",4,train,lt,st,"Maggie Smith e le setho Ya-Ya le O2-tanka e tla ka ho feletseng khoa o le crass hae, ka nako eo ke feheloe ka bakeng sa khase, ka mantsoe deportment.","Maggie Smith as a member of the Ya-Ya-O2 tank will be completely crack crass at home, then I can feheloe for gas, in the words deportment."
6709,"The result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's Hollywood .",0,train,ky,no,"Resultatet er imidlertid velmenende, er ironisk nok bare slags engangs, kjøkken vask hyllest som illustrerer hvorfor det hele er så ofte mindre enn summen av delene i dagens Hollywood.","The result, however well-intentioned, is ironically just kind of disposable, kitchen sink tribute that illustrates why the whole thing is so often less than the sum of its parts in today's Hollywood."
6710,"An invaluable historical document thanks to the filmmaker 's extraordinary access to Massoud , whose charm , cultivation and devotion to his people are readily apparent .",4,train,ny,da,"En uvurderlig historisk dokument takket være filmskaber? S ekstraordinære adgang til Massoud, hvis charme, dyrkning og hengivenhed til hans folk er umiddelbart indlysende.","A priceless historical document thanks to filmmaker? S extraordinary access to Massoud, whose charm, culture and devotion to his people are immediately obvious."
6711,"Its metaphors are opaque enough to avoid didacticism , and the film succeeds as an emotionally accessible , almost mystical work .",3,train,sk,yo,"Awọn oniwe-metaphors ni o wa akomo to lati yago fun didacticism, ati awọn fiimu si yege bi ohun taratara wiwọle, fere mystical iṣẹ.","Its metaphors are opaque enough to avoid didacticism, and the film succeeds as an earnest, almost mystical access."
6712,"Even in terms of the low-grade cheese standards on which it operates , it never quite makes the grade as tawdry trash .",1,train,yi,bn,"এমনকি কম গ্রেড পনির মান উপর তা পরিচালনা পরিপ্রেক্ষিতে, এটা বেশ চটকদার ট্র্যাশ যেমন গ্রেড তোলে না।","Even low-grade cheese which operates on standard terms, it is not quite as flashy trash makes the grade."
6713,It is too bad that this likable movie is n't more accomplished .,1,train,uk,mi,Ko reira te kino rawa e kore te atu rite tenei kiriata herehia.,It is the worst is not as loved this film.
6714,"A plethora of engaging diatribes on the meaning of ` home , ' delivered in grand passion by the members of the various households .",3,train,iw,ro,"O serie de diatribele de îmbinare pe sensul `acasă,"" livrate în marea pasiune de către membrii diferitelor gospodării.",A series of diatribes joining the meaning of 'home' great passion delivered by members of different households.
6715,"A finely tuned mood piece , a model of menacing atmosphere .",4,train,mk,yi,"א פינעלי טונד שטימונג שטיק, אַ מאָדעל פון מענאַסינג אַטמאָספער.","A Finely tuned mood piece, a model of menacing atmosphere."
6716,It 's a road-trip drama with too many wrong turns .,0,train,haw,bn,এটা 'অনেকগুলি ভুল করিয়া সঙ্গে একটি রাস্তা-ট্রিপ নাটক s।,It is a road-trip drama with too many wrong turns s.
6717,"77 minutes of Pokemon may not last 4ever , it just seems like it does .",1,train,sq,zh-tw,77分鐘口袋妖怪也許不會長久4EVER，它只是似乎像它。,"77 minutes Pokemon may not last 4EVER, it just seems like it."
6718,"It 's an interesting effort ( particularly for JFK conspiracy nuts ) , and Barry 's cold-fish act makes the experience worthwhile .",3,train,mt,hi,"यह एक दिलचस्प प्रयास (विशेष रूप से जेएफके साजिश पागल के लिए) है, और बैरी की ठंड में मछली कार्य अनुभव सार्थक बनाता है।","It is an interesting effort (especially JFK conspiracy nuts), and Barry makes it worthwhile fish work experience in the cold."
6719,"At times THE GUYS taps into some powerful emotions , but this kind of material is more effective on stage .",2,train,tl,cs,"Občas kluci kohouty na některých silných emocí, ale tento druh materiálu je účinnější na jevišti.","Sometimes guys taps on some strong emotions, but this kind of material is effective on stage."
6720,He 's one of the few ` cool ' actors who never seems aware of his own coolness .,3,train,sr,am,ፈጽሞ በራሱ coolness ውስጠ ይመስላል ማን ተዋናዮችን እሱም 'ጥቂት `አሪፍ መካከል ዎች አንዱ'.,Never seems to be aware of his own coolness actors who he 's one of the few `cool'.
6721,What begins brightly gets bogged down over 140 minutes .,1,train,ky,gd,Dè a 'tòiseachadh soilleir faighinn sàs thairis air 140 mionaidean.,What begins clearly getting involved over 140 minutes.
6722,"Third time 's the charm ... yeah , baby !",4,train,fr,st,"ka lekhetlo la boraro 's la sekgatlhi ... ee, lesea!","The third time's the charm ... yes, baby!"
6723,"An ambitious movie that , like Shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off .",4,train,sd,fy,"In ambisjeuze film dat, lykas Shiner 's organisearjen fan de grutte striid, Pulls ôf genôch fan syn effekten te meitsje foar de lju dy't net komme ôf.","An ambitious film that, like Shiner 's organizing the big fight, Pulls off enough of its effects for those who do not come off."
6724,And a very rainy day .,2,train,gl,am,አንድ በጣም ዝናባማ ቀን.,A very rainy day.
6725,"No one involved , save Dash , shows the slightest aptitude for acting , and the script , credited to director Abdul Malik Abbott and Ernest ` Tron ' Anderson , seems entirely improvised .",0,train,hu,mg,"Tsy misy tafiditra, afa-Dash, mampiseho ny kely aptitude ny manao, sy ny soratra, nisaina ny tale Abdul Malik Abbott sy Ernest `Tron 'Anderson, toa tanteraka improvised.","No one involved, but Dash, shows little aptitude to do, and the writing, I thought the director Abdul Malik Abbott and Ernest 'Tron' Anderson, seem to be entirely improvised."
6726,"In spite of featuring a script credited to no fewer than five writers , apparently nobody here bothered to check it twice .",1,train,id,am,ጎልተው ቢያጋጥመውም ስክሪፕት እዚህ ምንም ያነሱ ከአምስት ጸሐፊዎች የሚመስለው ማንም ምስጋና ሁለት ጊዜ እሱን ለማየት ይረብሸኝ ነበር.,Despite this script featured no fewer than five writers bothered to see it thanks to two seems to have no time.
6727,"And as with most late-night bull sessions , eventually the content is n't nearly as captivating as the rowdy participants think it is .",1,train,fy,el,"Και όπως συμβαίνει με τα περισσότερα αργά το βράδυ συνεδρίες ταύρο, τελικά το περιεχόμενο δεν είναι τόσο σαγηνευτική και τα θορυβώδη συμμετέχοντες πιστεύουν ότι είναι.","And as with most late-night bull sessions, finally the content is both captivating and noisy participants believe that it is."
6728,"When a movie has stuck around for this long , you know there 's something there .",4,train,mt,sl,"Ko je film zaljubljen približno za tako dolgo, si tam tam vedeli, ""je nekaj.","When the film is stuck around for so long, you know there there ""is something."
6729,"The kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4,train,de,ka,"სახის ფილმი, რომელიც მოდის მხოლოდ ხანდახან, ერთი, ისე მიუღებელი, გაბედული და შესანიშნავად შესრულებული სჭირდება თქვენი სუნთქვა დაშორებით.","kind of film, which comes only occasionally, for one, so unconventional, bold and perfectly executed it takes your breath away."
6730,Exploring value choices is a worthwhile topic for a film -- but here the choices are as contrived and artificial as Kerrigan 's platinum-blonde hair .,2,train,fi,es,Explorar opciones de valor es un tema que vale la pena para una película - pero aquí las opciones son tan rebuscada y artificial como el pelo rubio platino Kerrigan 's.,Explore options value is a worthwhile subject for a movie - but here the options are as contrived and artificial as the platinum blonde hair Kerrigan 's.
6731,"That neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks .",1,train,sd,ne,"दुवै बस actory concoctions, childlike dimness र quirks को एक मुट्ठी द्वारा परिभाषित छन् किनभने न protagonist एक distinguishable अवस्था छ शायद मामलाहरु।","Both just actory concoctions, childlike dimness and are defined by a handful of quirks because neither protagonist is a distinguishable state cases may be."
6732,A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,3,train,pl,he,קומדיה רומנטית מאוד מצחיק על שני זאטוטים באמצע עצבניים ניו יורק אשר מעידה לתוך מערכת יחסים ואז להיאבק בזעם הפחדים והחולש שלהם.,"Very funny romantic comedy about two middle-agers edgy New York, which testifies into a relationship and then fight furiously fears and weaknesses."
6733,"Despite its old-hat set-up and predictable plot , Empire still has enough moments to keep it entertaining .",3,train,af,fy,"Nettsjinsteande syn âlde-hat set-up en foarsisber plot, Ryk noch hat genôch mominten te hâlden it ferdivedearjend.","Despite its old-hat set-up and predictable plot, government still has enough moments to keep it entertaining."
6734,This is the best Star Trek movie in a long time .,4,train,en,hmn,Qhov no yog qhov zoo tshaj plaws Star Trek movie nyob rau hauv ib tug ntev lub sij hawm.,This is the best Star Trek movie in a long time.
6735,"`` I blame all men for war , '' ( the warden 's daughter ) tells her father .",2,train,cy,ro,"`` Eu dau vina pe toți oamenii de război, „(fiica gardianului„e)“, spune tatăl ei.","`` I blame all men of war ""(daughter guardian 's),"" says her father."
6736,It all seemed wasted like DeNiro 's once promising career and the once grand Long Beach boardwalk .,1,train,uk,sv,Det hela verkade spillo som DeNiro är en gång lovande karriär och när Grand Long Beach Boardwalk.,It all seemed wasted as DeNiro's once promising career at the Grand Long Beach Boardwalk.
6737,"Director Tom Dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut Shanghai Noon , but Showtime 's uninspired send-up of TV cop show cliches mostly leaves him shooting blanks .",3,train,ha,my,"ဒါရိုက်တာတွမ်ဒေးကသူ၏ချစ်စရာကောင်း 2000 ပွဲဦးထွက်ရှန်ဟိုင်းမွန်းတည့်အတွက်အရေးယူဆောင်ရွက်မှုများနှင့် idiosyncratic ဟာသရောစပ်များအတွက် knack သရုပ်ပြ, ဒါပေမယ့် Showtime 's uninspired ပို့ရန်-up, တီဗီရဲပြပွဲcliché၏အများအားဖြင့်ကွက်လပ်ရိုက်ကူးသူ့ကိုထွက်ခွာမည်။","Director Tom Maday his charming 2000 debut in Shanghai noon and idiosyncratic action comedy demonstrate knack for blending, but Showtime 's uninspired send-up of the TV show cliché usually leave him to shoot blanks."
6738,"Nohe has made a decent ` intro ' documentary , but he feels like a spectator and not a participant .",1,train,sd,hi,"Nohe एक सभ्य `परिचय 'वृत्तचित्र बना दिया है, लेकिन वह एक दर्शक और नहीं एक भागीदार की तरह लगता है।","Nohe has made a decent 'Introduction' documentary, but he is a spectator and not a participant."
6739,Polanski has found the perfect material with which to address his own World War II experience in his signature style .,4,train,fi,mt,Polanski sab il-materjal perfetta li biex tindirizza stess Tieni Gwerra Dinjija l-esperjenza tiegħu fl-istil firma tiegħu.,Polanski has found the perfect material to address itself World War II his experience in his signature style.
6740,"Seagal ran out of movies years ago , and this is just the proof .",0,train,gu,af,"Seagal uitgehardloop movies jaar gelede, en dit is net die bewys.","Seagal ran movies years ago, and it's just evidence."
6741,A movie that feels like the pilot episode of a new teen-targeted action TV series .,2,train,te,nl,Een film die aanvoelt als de pilot-aflevering van een nieuw-tiener gerichte actie tv-serie.,A film that feels like the pilot episode of a new teen-oriented action TV series.
6742,"Not a bad premise , but the execution is lackluster at best .",2,train,th,te,"ఒక చెడ్డ ఆవరణలో, కానీ అమలు ఉత్తమ వద్ద పేలవంగా ఉంది.","Not a bad premise, but the execution was poor at best."
6743,Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .,1,train,pl,et,"Mängib nagu seeria kleebised - klipid filmi, mis on endiselt otsin ühine läbiv joon.",Playing as a series of stickers - movie clips that are still looking for a common feature.
6744,"Human Nature is a goofball movie , in the way that Malkovich was , but it tries too hard .",3,train,ur,zh-cn,人性是一个goofball电影中的方式，马尔科维奇是，但它试图太硬。,"Human nature is a goofball movie mode, Markovic is, but it's trying too hard."
6745,"The film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill .",3,train,id,ta,"கண்கள் வெளியாட்கள் மூலம் காணப்படும் படம் நவீன வாழ்க்கை பொது அபத்தத்தை பற்றி நகைச்சுவையான அவதானிப்புகள் நிரப்பப்பட்டிருக்கும், ஆனால் நயமாக அடிக்கடி பிளேக் படங்களில் மன நோயாளிகளுக்கு கையாள்வதில் என்று தாராள ஒரே மாதிரியான பல தவிர்க்க நிர்வகிக்கிறது.","The film seen through the eyes of outsiders is filled with humorous observations about the general absurdity of modern life, but politely manages to avoid the many of the generous stereotypes that often plague the mentally ill in Black films."
6746,My only wish is that Celebi could take me back to a time before I saw this movie and I could just skip it .,0,train,pt,haw,"Kaʻu wale makemake mea i Celebi ke lawe mai iaʻu hoʻi i ka manawa mua aʻu i ike ai i keia mea hōʻike, a au hiki e skip ia.","I only wish that Celebi bring me the first time I saw this show, and I can not skip it."
6747,Mostly the film is just hectic and homiletic : two parts exhausting Men in Black mayhem to one part family values .,2,train,ca,am,በአብዛኛው ፊልሙ ብቻ ጥድፊያ እና homiletic ነው: አንድ ክፍል የቤተሰብ እሴቶች ወደ ጥቁር የሚያህሉ ወንዶች አድካሚ ሁለት ክፍሎች.,"Much of the film is not only fast and homiletic: a part of family values ​​to black men, and fatiguing two parts."
6748,Steadfastly uncinematic but powerfully dramatic .,3,train,ga,cy,Ddiysgog uncinematic ond rymus ddramatig.,Steadfastly uncinematic but powerfully dramatic.
6749,"A cross between Blow and Boyz N The Hood , this movie strives to be more , but does n't quite get there .",1,train,ht,si,"බලෙන් හා Boyz එන් ඒ අවටනම් අතර හරස්, මෙම චිත්රපටය පරිශ්රම දරමින් වැඩි විය, නමුත් ඉතා එහි ලබා නැත.","Boyz N the hood and forced the crossing, the film strives to be more, but there is not a."
6750,An average kid-empowerment fantasy with slightly above-average brains .,3,train,pt,tl,Ang isang average kid-empowerment fantasy na may bahagyang sa itaas-average na utak.,An average kid-empowerment fantasy with slightly above-average brain.
6751,The modern remake of Dumas 's story is long on narrative and ( too ) short on action .,1,train,it,id,Remake modern cerita Dumas 's adalah panjang pada narasi dan (juga) pendek pada tindakan.,Modern remake Dumas story 's is the length of the narrative and the (too) short on action.
6752,But this is Lohman 's film .,2,train,hu,ko,그러나 이것은 Lohman는 '의 영화이다.,But this Lohman is a 'film.
6753,Here the love scenes all end in someone screaming .,1,train,da,ig,Ebe a na ịhụnanya Mpaghara niile ọgwụgwụ onye mkpu.,Here and love all end the Zone Alarm.
6754,"One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin .",1,train,km,et,"Üks tund Foto võib tunduda pettumuse oma üldsõnaliseks, kuid see on väike nüansse, et võib-olla tuli põgeneda direktor Mark Romanek 's iseteadev kontrolli juhtuda, et lõpuks saada naha all.","One Hour Photo may seem disappointing their generalities, but it is a little nuances that might have had to flee the director Mark Romanek's self-conscious control of the case that will eventually get under your skin."
6755,Veers uncomfortably close to pro-Serb propaganda .,2,train,ca,is,Veers óþægilega nálægt Pro-serbneska áróður.,Veers uncomfortably close to pro-Serbian propaganda.
6756,Nicks and Steinberg match their own creations for pure venality -- that 's giving it the old college try .,1,train,hmn,sn,Nicks uye Steinberg kunowirirana zvisikwa zvavo kuti akachena venality - kuti 'That achichipa chakare koreji wekuedza.,Nicks and Steinberg agrees creation to clean venality - that 'That's giving it the old college try.
6757,Got a David Lynch jones ?,2,train,ne,iw,Got a ג'ונס דיוויד לינץ '?,Got a Jones David Lynch?
6758,A properly spooky film about the power of spirits to influence us whether we believe in them or not .,3,train,ne,yo,A daradara Spooky film nipa awọn agbara ti ẹmí lati ni agba wa boya a gbagbo ninu wọn tabi ko.,A well Spooky film about the spiritual power to influence whether we believe in them or not.
6759,Beautifully directed and convincingly acted .,3,train,tg,nl,Prachtig gericht en overtuigend gehandeld.,Beautifully directed and acted convincingly.
6760,"It picked me up , swung me around , and dropped me back in my seat with more emotional force than any other recent film .",4,train,pt,hy,"Այն վերցնում ինձ, swung ինձ մոտ, եւ նվազել ինձ ետ իմ տեղը ավելի հուզական ուժով, քան որեւէ այլ վերջին ֆիլմի.","It takes me, swung me around and dropped me back at my place more emotional power than any other recent film."
6761,The makers of Mothman Prophecies succeed in producing that most frightening of all movies -- a mediocre horror film too bad to be good and too good to be bad .,1,train,it,yo,Awọn onisegun ti Mothman asolete aseyori ni producing wipe julọ dẹruba ti gbogbo awọn sinima - a mediocre ibanuje film ju buburu lati wa ni ti o dara ati ki o ju ti o dara lati wa ni buburu.,The makers of Mothman Prophecies success in producing that most frightening of all the movies - a mediocre horror film too bad to be good and too good to be bad.
6762,A flick about our infantilized culture that is n't entirely infantile .,3,train,ar,gl,Unha película sobre a nosa cultura infantilizado que non é totalmente fillos partes.,A film about our culture that is not childish children fully shares.
6763,This loud and thoroughly obnoxious comedy about a pair of squabbling working-class spouses is a deeply unpleasant experience .,0,train,de,am,የስራ-ክፍል የትዳር ሲለቃቅሙ ጥንድ ይህ ስለ ጮክ እና በደንብ ሮፕያኑ ኮሜዲ አንድ በጥልቅ ደስ የማይል ተሞክሮ ነው.,Working-class experience is a deeply unpleasant comedy partner scavenge a pair of loud and obnoxious as this well.
6764,"Like life on the island , the movie grows boring despite the scenery .",0,train,ta,jw,"Kaya urip ing pulo, movie mundak akeh boring senadyan ing sesawangan.","Like living on the island, the movie grows boring despite the scenery."
6765,Has its moments -- and almost as many subplots .,3,train,sr,or,ଏବଂ ପ୍ରାୟ ଅନେକ subplots - ଏହାର କ୍ଷଣ ଅଛି।,And many subplots - it has its moments.
6766,"There 's a bit of thematic meat on the bones of Queen of the Damned , as its origins in an Anne Rice novel dictate , but generally , it 's a movie that emphasizes style over character and substance .",2,train,ro,ta,"அங்கு 'ஒரு அன்னே ரைஸ் நாவல் படிப்பதை அதன் மூலங்களை போன்ற, டாம்ன்ட் ராணி எலும்புகளை மீது கருப்பொருளாக இறைச்சி ஒரு பிட் கள், ஆனால் பொதுவாக, அது' பாத்திரம் மற்றும் பொருள் மீது பாணி வலியுறுத்துகிறது என்று ஒரு படம் கள்.","There 'study of its origins as an Anne Rice novel, Queen of the Damned, a bit of meat on the bones of the subject, but in general, it' s an image that emphasizes the character and style over substance."
