,Sentence,Label,Dataset,Unnamed: 0.1
3626,"Nicolas Cage is n't the first actor to lead a group of talented friends astray , and this movie wo n't create a ruffle in what is already an erratic career .",1,train,
3627,"A confluence of kiddie entertainment , sophisticated wit and symbolic graphic design .",3,train,
3628,"Sad nonsense , this .",1,train,
3629,unmatched of the best of a growing strain of daring picture show ... that contend that any sexual family relationship that does n't hurt anyone and works for its participants is a family relationship that is worthy of our respect .,3,train,3917.0
3630,Troubling and powerful .,3,train,
3631,"Resident Evil is n't a product of its cinematic predecessors so much as an MTV , sugar hysteria , and PlayStation cocktail .",1,train,
3632,"Each of us uncertain in the beautiful and wonderful, penetrating and dryly funny film about mothers, daughters and their relationships.",4,train,
3633,"This is a story that zings all the way through with originality , humour and pathos .",4,train,
3634,"There 's not much to Fatale , outside of its stylish surprises ... but that 's OK .",2,train,
3635,years 48 .,2,train,6755.0
3636,Yet another self-consciously overwritten story about a rag-tag bunch of would-be characters that team up for a ca n't - miss heist -- only to have it all go wrong .,2,train,
3637,He keeps your interest until the end and even if you have a few that continue to speak her mind.,3,train,
3638,it 's notwithstanding frightful,0,train,4521.0
3639,"(Caine) proved once again that he lost his touch, bringing a superb performance in a real movie middling.",3,train,
3640,"Really is a pan-American movie , with moments of genuine insight into the urban heart .",3,train,
3641,Only two-fifths of a satisfying movie experience .,2,train,
3642,The things this movie tries to get the audience to buy just wo n't fly with most intelligent viewers .,1,train,
3643,"It 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest .",0,train,
3644,Buy popcorn.,2,train,
3645,` Matrix ' - style massacres erupt throughout ... but the movie has a tougher time balancing its violence with Kafka-inspired philosophy .,1,train,
3646,Paxton 's uneven directorial debut fails to unlock the fully potential difference of what is in many way of life a fresh and dramatically substantial spin on the writing style .,2,train,4498.0
3647,The story 's pathetic and the gags are puerile . .,0,train,
3648,When the twist endings were actually surprising ?,2,train,
3649,"You have once again entered the bizarre realm where director Adrian Lyne holds sway , where all relationships are simultaneously broadly metaphorical , oddly abstract , and excruciatingly literal .",2,train,
3650,A very rainy day.,2,train,
3651,The film's images provide a backbone to the company and provide an emotional edge to his ultimate demise.,3,train,
3652,"Formulaic to the 51st power , more like .",1,train,
3653,"... the story is far-flung , illogical , and plain stupid .",0,train,
3654,"George Clooney , in his first directorial effort , presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years .",3,train,
3655,It is n't scary .,1,train,
3656,Like a can of 2-day old Coke .,0,train,
3657,MIB II is a movie that realise it potential for the viewer to doze off for a few minutes or make several runs to the grant endure and or restroom and not feel as if he or she has missed anything .,0,train,5266.0
3658,"The power of Shanghai Ghetto , a documentary by Dana Janklowicz-Mann and Amir Mann , rests in the voices of men and women , now in their 70s , who lived there in the 1940s .",3,train,
3659,"The film has too many places where the 'S on slippery leg, but is acceptable entertainment for the whole family and one that' s especially suited for kiddies.",2,train,
3660,Compellingly watchable .,4,train,
3661,"A metrius Romanian fun, word processor passes through the second couple in need.",2,train,
3662,"Though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere .",1,train,
3663,"An unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",3,train,
3664,The problems of the people in Love in the Time of Money are hardly specific to their era .,2,train,
3665,group a reality-snubbing hotchpotch .,1,train,8514.0
3666,"Like its parade of predecessors , this Halloween is a gory slash-fest .",3,train,
3667,"The movie 's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director Michel Gondry restate it to the point of ridiculousness .",0,train,
3668,You try to guess the order in which the kids in the house will be gored .,1,train,
3669,Only in its final surprising shots does Rabbit-Proof Fence find the authority it 's looking for .,2,train,
3670,"The Last Kiss will probably never achieve the popularity of My Big Fat Greek Wedding , but its provocative central wedding sequence has far more impact .",3,train,
3671,"The the curlers is n't interesting actually , what I like Men Brooms and what is of special film knows what unique quirky about .",3,train,1724.0
3672,The Spalding Gray equivalent of a teen gross-out comedy .,2,train,
3673,Sewer rats could watch this movie and be so skeeved out that they 'd need a shower .,0,train,
3674,"A sterling film - a cross between Boys Do n't Cry , Deliverance , and Ode to Billy Joe - lies somewhere in the story of Matthew Shepard , but that film is yet to be made .",2,train,
3675,"If you are into spill picture show , then you will probably have a reasonably dear time with The Salton sea .",3,train,7615.0
3676,"Ends mostly about ravishing costumes , production design and 's wacky decision to stand her no matter how times that disloyal satyr .",2,train,5442.0
3677,A charmer from Belgium .,3,train,
3678,"At a time when we 've learned the hard way just how complex international terrorism is , Collateral Damage paints an absurdly simplistic picture .",1,train,
3679,"If you like an extreme action-packed film with a hint of humor , then Triple X marks the spot .",3,train,
3680,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",1,train,
3681,"Hollywood has taken a fairly sharp drop the ""s imaginary flight to Shyamalan"" Alfred Hitchcock years of arrogance down.",1,train,
3682,Low comedy does n't come much lower .,1,train,
3683,... manages to fall closer in quality to Silence than to the abysmal Hannibal .,2,train,
3684,"Just when you think you are making sense of it , something happens that tells you there is no sense .",1,train,
3685,"Ignoring that , he Swimfan anyway",1,train,5113.0
3686,A Sha-Na-Na sketch punctuated with graphic violence .,2,train,
3687,"Parker should be praised for taking a new approach to familiar material, but his determination to remain faithful to the original text leads him to adopt a somewhat amanerat ... which ultimately dulls the human tragedy of the core the story down.",2,train,
3688,"It 's tough being a black man in you , the when America Man has taken your your car , away work-hours and especially denied health insurance .",2,train,6021.0
3689,Everything is pegged into the groove of a New York dating comedy with ` issues ' to simplify .,2,train,
3690,"( Lin Chung 's ) voice is rather unexceptional , even irritating ( at least to this Western ear ) , making it awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters .",1,train,
3691,"A superfluous thing ... plagued by that old appointed feeling of ' let at get this sequel the and ' Everyone has shown up 's over familiar time with place , but visible enthusiasm is mighty hard to find .",1,train,6597.0
3692,"Despite some charm and heart , this quirky soccer import is forgettable",1,train,
3693,more precious than perspicacious,3,train,
3694,Every scene wreaks of routine; the film never manages to develop a single threat of skepticism.,2,train,
3695,"As literary desecrations go , this makes for perfectly acceptable , occasionally very enjoyable children 's entertainment .",3,train,
3696,"Seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one .",3,train,
3697,"Leaping from one arresting image to another , Songs from the Second Floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .",4,train,
3698,It 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair .,4,train,
3699,The mushy finale turns John Q into a movie-of-the-week tearjerker .,3,train,
3700,"For the vast majority of casual filmgoers, it will probably be created talc.",1,train,
3701,"Confessions is not always coherent, but the comic and the UN's great is that by this way, take the gong.",3,train,
3702,Bigelow offers some flashy twists and turns that occasionally fortify this turgid fable .,3,train,
3703,"Fathers and sons , and the uneasy bonds between them , rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film .",4,train,
3704,"There 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but Kang tacks on three or four more endings .",2,train,
3705,does a gift for generating nightmarish images that will be hard burn out of your brain .,2,train,5454.0
3706,"Funny , sexy , devastating and incurably romantic .",4,train,
3707,One regards Reign of Fire with awe .,4,train,
3708,"A fascinating , bombshell documentary that should shame Americans , regardless of whether or not ultimate blame finally lies with Kissinger .",4,train,
3709,This makes me say clearly: Abandon all hope for a good movie that you enter here.,0,train,
3710,About the best thing you could say about Narc is that it 's a rock-solid little genre picture .,3,train,
3711,The pain feels like he credits roll your stomach grumbling for some grub tastes.,1,train,
3712,It recycles every cliché about gays in what is essentially an extended soap opera .,0,train,
3713,Best indie of the year so far.,4,train,
3714,All the time and flashbacks do not add up to much more than Tri comments on the human condition.,1,train,
3715,"In this film we at least see a study in contrasts ; the wide range of one actor , and the limited range of a comedian .",2,train,
3716,Rarely does such high-profile talent serve such literate material .,3,train,
3717,Touche!,2,train,
3718,Heartwarming and gently comic even as the film breaks your heart .,3,train,
3719,"Fincher takes joy in making movies , and he gives none to the audience .",1,train,5702.0
3720,"This falls far short poem, but it 's not a bad CD.",3,train,
3721,The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .,0,train,
3722,"The screenplay does too much meandering , Norton has to recite bland police procedural details , Fiennes wanders around in an attempt to seem weird and distanced , Hopkins looks like a drag queen .",1,train,
3723,Yet this one makes up for in heart what it lacks in outright newness .,3,train,
3724,"With a little imagination, you can restage the whole thing in your bathtub.",1,train,
3725,"This is the sort low-grade dreck usually straight to video -- with a script direction pathetic poorly dubbed and murky cinematography , complete with boom mikes .",0,train,4395.0
3726,"At a brief 42 minutes , we need more X and less blab .",2,train,
3727,"Spider-man is than any summer blockbuster had to endure last summer , hopefully , sets a of good stuff .",4,train,1752.0
3728,Roman Polanski 's autobiographical gesture at redemption is better than ` Shindler 's List ' - it is more than merely a Holocaust movie .,3,train,
3729,` Stock up on silver bullets for director Neil Marshall 's intense freight train of a film . ',3,train,
3730,Moving and vibrant .,4,train,
3731,"The color sense of Stuart Little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is .",3,train,
3732,"Despite all the closed-door hanky-panky , the film is essentially juiceless .",0,train,
3733,Almodovar is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what William James once called ` the gift of tears . ',4,train,
3734,As saccharine as it is disposable .,1,train,
3735,"unconditional , misadvise drollery .",1,train,8532.0
3736,"Boy puppet Pinocchio Benigni as gifts for himself, full receding hairline, countenance weathered American Breckin Meyer 'ridiculously inappropriate valley .The boy voice.",2,train,
3737,"A grating , emaciated flick .",1,train,
3738,Koepp 's screenplay is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .,0,train,
3739,The Sweetest Thing leaves a bitter taste .,0,train,
3740,"Despite his mistakes, comparable excels in spectacle and event.",3,train,
3741,A cheap scam put together by some creeps at Revolution and Imagine to the surrender 93 of .,0,train,5857.0
3742,"It 's still Adam Sandler , and it 's not Little Nicky .",2,train,
3743,"I think that like Smith they ""do not make fun of these people, then he is not laughing at them.",3,train,
3744,Manages to be both hugely entertaining and uplifting .,4,train,
3745,"After watching the film, I can tell you that ""no S is no other reason why anyone should bother to remember it.",0,train,
3746,One of the most incoherent features in recent memory .,0,train,
3747,There 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .,3,train,
3748,Children and adults enamored of all things Pokemon wo n't be disappointed .,3,train,
3749,"A typically observant , carefully nuanced and intimate French coming-of-age film that is an encouraging debut feature but has a needlessly downbeat ending that is too heavy for all that has preceded it .",2,train,
3750,"Nothing happens, and happens to be flat characters.",1,train,
3751,Rock 's stand-up magic wanes .,1,train,
3752,information technology 's charles frederick worth consume the jolly to .,4,train,3331.0
3753,A must-see for fans of thoughtful war films and those interested in the sights and sounds of battle .,4,train,
3754,"A journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes Holly and Marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",3,train,
3755,"Told in scattered fashion , the movie only intermittently lives up to the stories and faces and music of the men who are its subject .",1,train,
3756,"A fun, if ultimately short, thriller.",3,train,
3757,"90 punitive minutes of eardrum-dicing gunplay , screeching-metal smashups , and flaccid odd-couple sniping .",0,train,
3758,Giovanni Moretti perform and mental predictably they find it difficult to sustain interest in his work after the family tragedy.,2,train,
3759,"Even with Harris 's strong effort , the script gives him little to effectively probe Lear 's soul-stripping breakdown .",2,train,
3760,Peter Jackson has done the nearly impossible .,3,train,
3761,"The theater was filled with honest and detailed special, Baran and gentle film and boxing, and haunting ode people.",4,train,
3762,It 's just hard to believe that a life like this can sound so dull .,1,train,
3763,"You can taste it , but there 's no fizz .",1,train,
3764,"... a complete viewer of a movie good sloppy , or uneven a so damn unpleasant that I ca , believe any shambles n't young so old , would have , so time here .",0,train,5002.0
3765,A surprisingly charming and even witty match for the best of Hollywood 's comic-book adaptations .,3,train,
3766,"Awesome work : ineffable , elusive , yet inexplicably powerful",4,train,
3767,A straight-shooting family film awards animals the respect they 've rarely given .,4,train,3088.0
3768,"Ritchie's film is easier to swallow than paradise creates unusual partners' s polemical allegory, but it's even defeatingly decorous.",1,train,
3769,"gird with a plot supporting cast , from the pitch-perfect Forster to the constantly uproarious Meara and Levy , Like Mike shoots and scores , doing its namesake proud .",4,train,950.0
3770,One of the worst films of 2002 .,0,train,
3771,associate in nursing sinful striking go through .,4,train,1354.0
3772,"A genuinely funny that also audience -- in a , nonjudgmental kind of way -- consider what we value in our daily .",4,train,3964.0
3773,"Standing by Yourself is haunting ... ( It 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction .",3,train,
3774,"If villainous vampires are your cup of blood , Blade 2 is definitely a cut above the rest .",3,train,
3775,"script the gags characters are stuff , where this should remained .",0,train,6223.0
3776,But they lack their idol 's energy and passion for detail .,1,train,
3777,"A sexy , surprising romance ... Idemoto and Kim make a gorgeous pair ... their scenes brim with sexual possibility and emotional danger .",4,train,
3778,"Sensitive examined general issues of race and justice among the poor, and especially raises serious questions about the death penalty and asked what good killing a mind challenged woman possible to do.",2,train,
3779,One of those films that started with a great premise and then just fell apart .,0,train,
3780,"A believable , refreshingly low-key and quietly inspirational little drama .",3,train,3326.0
3781,Rodriguez ... was unable to reproduce the special spark between the characters that made the first film such a delight .,2,train,
3782,It 's a drag how Nettelbeck . working women working or at sees this -- woman -- for least shows she little understanding whom,0,train,4201.0
3783,"An ugly , pointless , stupid movie .",0,train,
3784,miserable and .,0,train,6395.0
3785,"At its best , this is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture .",4,train,
3786,Very worth seeing things.,4,train,
3787,"In fact , it 's quite fun in places .",3,train,
3788,"Worth meet once , but its tempt cursorily slice .",2,train,5601.0
3789,"So earnest and well-meaning , and so stock up with talent , that you almost block the sheer , ponderous horridness of its book .",2,train,5422.0
3790,Those eternally devoted to the insanity of Black will have an intermittently good time .,3,train,
3791,Is ruddy Dragon suitable of a piazza alongside the other Hannibal motion picture,2,train,2778.0
3792,"The interesting thing about the ghost stories below the Atlantic Ocean and back burning, and goats, and threw it out of the mouth of the Bermuda Triangle north.",1,train,
3793,Horrible.,0,train,
3794,One-of-a-kind near-masterpiece.,4,train,
3795,zippo more than a run of the mill sue flip .,2,train,5981.0
3796,"you 're smart, nuanced de Sade a look at if you're looking for, and what has happened to Picpus, Sade your movie.",3,train,
3797,"One of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation .",1,train,
3798,"It 's the perfect star vehicle for Grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona .",3,train,
3799,"Bittersweet comedy/drama full of life , hand gestures , and some really adorable Italian guys .",4,train,
3800,"The Hours , a delicately crafted film , is an impressive achievement in spite of a river of sadness that pours into every frame .",3,train,
3801,I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .,2,train,
3802,"... If you had an interesting atmosphere, but in a bad movie, you want to contact Matinee.",2,train,
3803,"And second , what 's with all the shooting ?",1,train,
3804,"You really have to salute writer-director Haneke ( he adapted Elfriede Jelinek 's novel ) for making a film that is n't nearly as graphic but much more powerful , brutally shocking and difficult to watch .",2,train,
3805,speak articulately about the symbiotic kinship between art and life time .,4,train,1647.0
3806,The execution is so pedestrian that the most positive comment we can make is that Rob Schneider actually turns in a pretty convincing performance as a prissy teenage girl .,2,train,
3807,Brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life 's harshness .,4,train,
3808,It 's an experience in understanding a unique culture that is presented with universal appeal .,3,train,
3809,"I 've had more interesting -- and , dare I say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .",1,train,
3810,What little grace ( Rifkin 's ) tale of precarious skid-row dignity achieves is pushed into the margins by predictable plotting and tiresome histrionics .,1,train,
3811,"It plods along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even remotely new or interesting .",1,train,
3812,A film about our culture that is not childish children fully shares.,3,train,
3813,"Rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle",3,train,
3814,"Bringing the wafer-thin films with his deft shoulder, Chan wades through inferior writing, direction and timing with a smile that says, 'If I stay positive, maybe I can channel one of my greatest pictures , Drunken Master. '",1,train,
3815,"If The Last Man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows .",1,train,
3816,"If you 're looking tale of Brits behaving badly , Snatch again",2,train,6422.0
3817,"The film 's final hour , where nearly all the previous unseen material resides , is unconvincing soap opera that Tornatore was right to cut .",1,train,
3818,A very depressing film of the many opportunities missed.,0,train,
3819,a visually flash but narratively unintelligible and emotionally vapid exercise in style and obfuscation .,1,train,4073.0
3820,Just as recent Argentine films Son reminder Bride us a feel-good can consistently show movies will certainly Time gifts Happy us a movie actually has a brain .,3,train,
3821,throw a customarily mirthful air but a shortfall of play a joke on inventiveness .,1,train,5291.0
3822,This film was made by and for those folks who collect the serial killer cards and are fascinated by the mere suggestion of serial killers .,2,train,
3823,"It is provocative stuff, but the speculative effort is hampered by Taylor's cartoonish performance and the film is reckless notion that Hitler destiny shaped by the most random chances.",1,train,
3824,"If you 're burnt out on It 's a Wonderful Life marathons and bored with A Christmas Carol , it might just be the movie you 're looking for .",3,train,
3825,"Belongs in the too-hot-for-TV direct-to-video/DVD category , and this is why I have given it a one-star rating .",1,train,
3826,Neatly constructed thriller.,3,train,
3827,Not even Felinni would know what to make of this Italian freakshow .,0,train,
3828,"Poetic , heartbreaking .",3,train,
3829,If only had the story to .,1,train,2177.0
3830,"Meeting , even exceeding expectations , it 's the best sequel since The Empire Strikes Back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .",4,train,
3831,"Who falls flat `` Chasing AMY '' and `` Change Lanes' as a Spark provide help they 'confused man Jack Ryan CIA representative of all of this summer,' s new action film, `` Sum fear. ''",1,train,
3832,"What and Dumb with Dumber life-affirming would ' the without been vulgarity and have an intelligent , ' script .",2,train,1711.0
3833,Seems everything short of easing self-consciously poetic and compelling ... it (s achievement does not match his ambition account is a pity that makes Nelson) 's is.,0,train,
3834,"Singer / songwriter Bryan Adams promotes lots of songs - a few potential hits, some simply more intrusive to the story - the whole package certainly captures meant, er, breath work.",3,train,
3835,A winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others .,4,train,
3836,"Cherry Orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story . '",1,train,
3837,"A fine , rousing , G-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .",4,train,
3838,"is an accomplished , and is big , juicy role",3,train,3566.0
3839,"Heartwarming here relies less on forced air than on Petter Næss ' delicate , clever direction ... and a wonderful , imaginative script by Axel Hellstenius .",4,train,
3840,"The movie 's captivating details are all in the performances , from Foreman 's barking-mad Taylor to Thewlis 's smoothly sinister Freddie and Bettany/McDowell 's hard-eyed gangster .",4,train,
3841,adenine rum dud that even Tunney ca n't salve .,0,train,4907.0
3842,"Despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair ...",2,train,
3843,"I can imagine this movie as a b & w British comedy , circa 1960 , with Peter Sellers , Kenneth Williams , et al. , but at this time , with this cast , this movie is hopeless .",1,train,
3844,It 's secondary to American Psycho but still has claws enough to get inside you and stay there for a couple of hours .,3,train,
3845,"pleaser 's It sweet , the your mouth that lifts crowd spirits as well as laugh-a-minute corners of your a .",3,train,135.0
3846,Uneven a spotty script add a biting no teeth .,1,train,5921.0
3847,"The characters ... are paper-thin , and their personalities undergo radical changes when it suits the script .",0,train,
3848,"According to the series, a different smartphone, the inventive film, and most of all, life.",2,train,
3849,But they fascinate in their recklessness .,3,train,
3850,Delivers roughly equal amounts of beautiful movement and information .,3,train,2797.0
3851,Schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .,3,train,
3852,"The soupy end result has the odd distinction of being playful without being fun , too .",2,train,
3853,A grand farting coming from a director get down to resemble someone 's nutcase gallic grandfather .,0,train,6143.0
3854,It 's just merely very bad .,0,train,
3855,Great dragons !,3,train,
3856,"For a debut film , Skin of Man , Heart of Beast feels unusually assured .",2,train,
3857,"One of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise .",4,train,
3858,"One of the year 's best films , featuring an Oscar-worthy performance by Julianne Moore .",4,train,
3859,The movie 's thesis -- elegant technology for the masses -- is surprisingly refreshing .,3,train,
3860,"... no beauty, no laughter, it's no fun, no reason to watch.",0,train,
3861,The plan to make Enough into ` an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller ' has flopped as surely as a soufflé gone wrong .,0,train,
3862,... delivers few moments of inspiration amid the bland animation and simplistic story .,2,train,
3863,"The Sweetest Thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .",2,train,
3864,"Sheridan was terrified the book's strength, respectfully and scotches most of his élan, humor, bile, and irony.",0,train,
3865,Poignant Japanese epic about adolescent anomie and heartbreak .,3,train,
3866,- the offense must be punishable by Chainsaw.,1,train,
3867,"Open-ended and composed of layer upon layer , Talk to Her is a cinephile 's feast , an invitation to countless interpretations .",2,train,
3868,a bland yawner .,0,train,4559.0
3869,Arteta directs one of the best ensemble casts of the year,4,train,
3870,"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",0,train,
3871,These are schoolbook live on of quiet down despair .,1,train,6823.0
3872,Admirably ambitious but self-indulgent .,2,train,
3873,"If you do n't flee , you might be seduced .",2,train,
3874,"And yet , it still works .",3,train,
3875,One ca n't shake the feeling that Crossroads is nothing more than an hour-and-a-half-long commercial for Britney 's latest album .,0,train,
3876,"A bland , obnoxious 88-minute infomercial for Universal Studios and its ancillary products . . .",1,train,
3877,"Humorless, self-conscious in a drivel, made not one shred of intelligence or creation.",0,train,
3878,Represents a worthy departure from the culture clash comedies that have marked an emerging Indian American cinema .,3,train,
3879,"Been there , done that , liked it much better the first time around - when it was called The Professional .",1,train,
3880,"Hailed as a clever exercise in neo-Hitchcockianism , this clever and very satisfying picture is more accurately Chabrolian .",4,train,
3881,If only it had the story to match .,1,train,
3882,It appears to have been modeled on the worst revenge-of-the-nerds clichés the filmmakers could dredge up .,0,train,
3883,The result might look like Vulgar .,2,train,
3884,"For all the complications , it 's all surprisingly predictable .",2,train,
3885,"A film that will be best appreciated by those willing to endure its extremely languorous rhythms , Waiting for Happiness is ultimately thoughtful without having much dramatic impact .",3,train,
3886,"What I was trying to decide annoyed me is not greater than about m ... I have the most to God ', and then I know that I could not care only.",0,train,
3887,The problem is that the movie has no idea of it is serious or not .,1,train,
3888,"This may be Dover Kosashvili 's feature directing debut , but it looks an awful lot like life -- gritty , awkward and ironic .",2,train,
3889,"Far too clever by half , Howard 's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another .",0,train,
3890,The first fatal attraction was enough ugly.,0,train,
3891,"The farcical elements seemed too pat and familiar to hold my interest , yet its diverting grim message is a good one .",2,train,
3892,"If you love music, and I, it's hard to imagine having more fun to watch documentaries ...",4,train,
3893,bequeath tender your heart without prepare you feel shamed about it .,4,train,8247.0
3894,"Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",3,train,
3895,A cockeyed shot all the way .,1,train,
3896,"More good than great, but Freeman and Judd to work.",3,train,
3897,No laughs .,1,train,4444.0
3898,"A solid , psychological action film from Hong Kong .",3,train,
3899,"This is Sandler running on empty , repeating what he 's already done way too often .",1,train,
3900,Coppola has made a film of intoxicating atmosphere and little else .,3,train,
3901,"Captures all the longing , anguish and ache , the confusing sexual messages and the wish to be a part of that elusive adult world .",3,train,
3902,Manages to accomplish what few sequels can -- it equals the original and in some ways even betters it .,3,train,
3903,"Your 20th outing shows off a of vitality , get 's cameo does n't suck",3,train,3814.0
3904,"Ram Dass Fierce Grace moulds itself as an example to up-and-coming documentarians , of the overlooked pitfalls of such an endeavour .",2,train,
3905,rarely has a motion picture 's title process such dire admonitory .,0,train,7337.0
3906,"... the story , like Ravel 's Bolero , builds to a crescendo that encompasses many more paths than we started with .",3,train,
3907,"... a cheap , ludicrous attempt at serious horror .",0,train,
3908,Whatever complaints I could have shot the club any time I 'd Antwone Fisher or other feel like the emperor in his pompous self-importance confused on (its) use genuine error and hard-won prize.,3,train,
3909,Does n't do more than expand a TV show to movie length .,1,train,
3910,"Tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",4,train,
3911,"The result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's Hollywood .",0,train,
3912,Ferrara's best film in years.,4,train,
3913,"performances a realistic , approach in Full seeing",4,train,2295.0
3914,"The photographer 's show-don ` t-tell stance is admirable , but it can make him a problematic documentary subject .",2,train,
3915,"Is now stretched to feature length, empty, with little attention paid to the further movement.",2,train,
3916,At times Auto Focus feels so distant you might as well be watching it through a telescope .,1,train,
3917,"It a pedestrian , flat drama that screams out amateur ' in every frame .",1,train,5498.0
3918,"Not easily lowered, leaving almost no aftertaste.",3,train,
3919,"If the real-life story is genuinely inspirational , the movie stirs us as well .",4,train,
3920,"Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .",3,train,
3921,"Despite a quieter middle section , involving Aragorn 's dreams of Arwen , this is even better than The Fellowship .",3,train,
3922,The trouble of the mass in Love in the Time of Money are barely specific to their epoch .,2,train,6492.0
3923,Their computer-animated front are very expressive .,3,train,37.0
3924,Feels untidily honest .,2,train,
3925,It 's mostly a pleasure to watch .,3,train,
3926,"Watching Harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but Boyd 's film offers little else of consequence .",2,train,
3927,This is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,1,train,
3928,turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters,0,train,
3929,"Whenever you think you've figured out the end of the marriage, it throws you for a loop.",3,train,
3930,You could hatred it for the same grounds .,1,train,1913.0
3931,Its engaging is driven by appealing,4,train,2190.0
3932,"Whatever one makes of its political edge , this is beautiful filmmaking from one of French cinema 's master craftsmen .",4,train,
3933,You have to see it .,4,train,
3934,It 's just plain boring .,2,train,
3935,"far matter is required to is too much of the , in a film that supply . overall , De too staid for its subject Ayala energy",2,train,7442.0
3936,It sends you away a believer again and quite cheered at just that .,4,train,
3937,"Originality 's a on the menu , but there spider never . in moment dull the giant ai invasion comic chiller n't",3,train,1552.0
3938,"The film makes strong arguments regarding the social status of America 's indigenous people , but really only exists to try to eke out an emotional tug of the heart , one which it fails to get .",2,train,
3939,"The script 's is way , off .",0,train,5811.0
3940,The film jolts the laughs from the audience -- as if by cattle prod .,3,train,
3941,The basic premise is intriguing but quickly becomes distasteful and downright creepy .,1,train,
3942,"Crudup 's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families .",3,train,
3943,"It 's a lovely , sad dance highlighted by Kwan 's unique directing style .",4,train,
3944,Nothing more or less than an outright bodice-ripper -- it should have ditched the artsy pretensions and revelled in the entertaining shallows .,1,train,
3945,There 's got to be a more graceful way of portraying the devastation of this disease .,1,train,
3946,Disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .,1,train,
3947,"Ill, unholy hokum.",1,train,
