,Sentence,Label,Dataset
4225,"Payne built a hilarious ode to the US and middle age with this unlikely adventure, featuring a pathetic, endearing heroes are all too human.",3,train
4226,Director Chris Eyre is going through the paces again with his usual high melodramatic style of filmmaking .,2,train
4227,"When it 's not wallowing in hormonal melodrama , '' rattling womanhood Have Curves '' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but revere she 'll turn her mother before she gets to fulfill her dreams .",3,train
4228,A lively engaging examination of similar can dominate a .,4,train
4229,A `black Austin Powers? '',2,train
4230,"It 's a quirky , off-beat project .",3,train
4231,"We can tell what it is supposed to be , but ca n't really call it a work of art .",1,train
4232,"It 's glorified and a sitcom , a long , unfunny that at one .",1,train
4233,Eight Legged Freaks ?,1,train
4234,The dominant feeling is something like nostalgia . ',2,train
4235,"Fails to satisfactorily exploit its gender politics , genre thrills or inherent humor .",1,train
4236,"A solid, psychological action film from Hong Kong.",3,train
4237,As saccharine as it is disposable .,1,train
4238,It strikes hardest ... when it reminds you how pertinent its dynamics remain .,3,train
4239,This version does both to the genre,3,train
4240,"Nettelbeck, part of the romance novel, part recipe book, flavors and emotions fantasy to think.",3,train
4241,"Its and pieces of The Hot Chick are so hilarious , and Schneider 's performance is so fine , it 's a real shame that so much of the movie -- again , as in The Animal -- is a slapdash mess .",1,train
4242,A tasty appetizer that leaves you wanting more .,3,train
4243,"Beating the Austin Powers films at their own game , this blaxploitation spoof downplays the vulgarity in favor of gags that bank on the strength of their own cleverness as contradict to the extent of their enormity .",3,train
4244,"Garbus discards for study exhuming instead , the skewed melodrama the situation .",2,train
4245,"A piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable .",1,train
4246,"This filmed Tosca -- not the showtime , by the way of life -- is a fairly good job , if it 's filmed Tosca that you deficiency .",3,train
4247,A film that will enthrall the whole family .,3,train
4248,This 100-minute movie only has about 25 minutes of decent material .,1,train
4249,A wordy wisp of a comedy .,2,train
4250,snaps strain eventually The . the its its movie plot contrivances and of need to reassure under,1,train
4251,The disjoin mess menstruate as course as Jolie 's hideous yellowness ' do .,0,train
4252,worth examine just for weaver and LaPaglia .,3,train
4253,"The isthmus carrying into action featured in Drumline are marxist blistering ... but from a mere story point of view , the film 's ice cold .",2,train
4254,Ms. Hutchins is talented enough and charismatic enough to make us care about Zelda 's ultimate fate .,4,train
4255,It concentrates far too much on the awkward interplay and utter lack of chemistry between Chan and Hewitt .,1,train
4256,a best that thing can be The of the picture is that it have moments said few cute does .,2,train
4257,"insightfully save , finely do",4,train
4258,"Weirdly , Broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .",1,train
4259,... unbearably lame .,0,train
4260,"There 's some practiced real in their story about a retail salesclerk wanting more out of life , but the movie too often spins its wheels with familiar situations and repetitive panorama .",1,train
4261,"An . good achingly , awfully picture human",3,train
4262,The date movie that Franz Kafka would have made .,2,train
4263,Thumbs up to Paxton for not falling into the Hollywood trap and making a vanity project with nothing new to offer .,4,train
4264,His work with actors impressive .,4,train
4265,Remarkable for its intelligence and intensity .,4,train
4266,Well-made but mush-hearted .,3,train
4267,"The climactic events are so well bring in that you may blank out all about the master conflict , just like the picture does",2,train
4268,An occasionally interesting but mostly repetitive look at a slice of counterculture that might be best forgotten .,1,train
4269,1960 rebellion was misplaced: you can not fight your culture.,2,train
4270,"Beautiful , cold , oddly colorful and just plain otherworldly , a freaky bit of art that 's there to scare while we delight in the images .",3,train
4271,", arch A smart comedy rather cold-blooded and .",3,train
4272,There is a spirit of general exuberance in All About The Benjamins' s hard to resist.,3,train
4273,"The smash 'em - up , crash 'em - up , shoot 'em - up ending comes out of nowhere substituting mayhem for suspense .",2,train
4274,"With all the sympathy , empathy and pity fogging up the screen ... His Secret Life enters the land of unintentional melodrama and tiresome love triangles .",1,train
4275,Burns ' fifth beer-soaked film feels in almost every possible way -- from the writing and direction to the soggy performances -- tossed off .,0,train
4276,"Solondz may be convinced that he has something significant to say , but he is n't talking a talk that appeals to me .",1,train
4277,"Slow , silly and unintentionally hilarious .",2,train
4278,"Dodgy mixture of cutesy romance, satire and dark secret weapon.",2,train
4279,Discursive but oddly riveting documentary .,3,train
4280,You just know something terrible is going to happen .,2,train
4281,"Funny , somber , absurd , and , finally , achingly sad , Bartleby is a fine , understated piece of filmmaking .",4,train
4282,What could have been right at home in a neat plot line traffic Steven Soderbergh's fail to reach any destination satisfying.,1,train
4283,It 's a consummate show of esteem to just ace of those underrated pro who deserve but rarely receive it .,4,train
4284,"We hate ( Madonna ) within the film 's first five minutes , and she lacks the skill or presence to regain any ground .",1,train
4285,One of the film 's most effective aspects is its Tchaikovsky soundtrack of neurasthenic regret .,2,train
4286,"By the time the plot grinds itself out in increasingly incoherent fashion , you power be bid for a view that makes time go faster rather than the other path around .",0,train
4287,"With minuscule visible talent and no energy , Colin Hanks is in sorry pauperization of major behave lessons and maybe a minuscule coffee .",0,train
4288,... the variety of movie you see because the field has broadcast condition .,1,train
4289,"an overstylized , pur male erecticle dysfunction meter lange of sex , psychology , drugs and doctrine .",1,train
4290,( Allen 's ) best works understand why snobbery is a better satiric target than middle-America diversions could ever be .,3,train
4291,"An occupy , formulaic boast dramatic event that channel a charge of genuine excitement .",3,train
4292,"As with so many merchandised-to-the-max movies of this type , more time appears to have gone into recruiting the right bands for the playlist and the costuming of the stars than into the script , which has a handful of smart jokes and not much else .",1,train
4293,The Porky 's Revenge : Ultimate Edition ?,2,train
4294,"Even if the enticing prospect of a lot of nubile young actors in a film about campus depravity did n't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by Avary 's failure to construct a story with even a trace of dramatic interest .",0,train
4295,"A feature-length , R-rated , road-trip version of Mama 's Family .",2,train
4296,"In the role of an observer of the scene, Lawrence White and sounds defensive, as his life-altering experience of his bitter and less mature.",1,train
4297,"An admitted egomaniac , Evans is no Hollywood villain , and yet this grating showcase almost makes you wish he 'd gone the way of Don Simpson .",1,train
4298,"Cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy .",2,train
4299,This film was made by and for those folks who collect the serial killer cards and are fascinated by the mere suggestion of serial killers .,2,train
4300,Diaz wears out his welcome in the most charmless performance,0,train
4301,"A disoriented but occasionally disarming saga packed with moments out of an Alice in Wonderland adventure , a stalker thriller , and a condensed season of TV 's Big Brother .",3,train
4302,"An exceptionally dreary and overwrought bit of work , every bit as imperious as Katzenberg 's The Prince of Egypt from 1998 .",1,train
4303,"( Gulpilil ) is a commanding screen presence , and his character 's abundant humanism makes him the film 's moral compass .",3,train
4304,It's just that it does not at- all good.,1,train
4305,"What enlivens this film , beyond the astute direction of Cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates .",3,train
4306,Wanker Goths,2,train
4307,lease 's go for not .,2,train
4308,"It 's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one .",0,train
4309,"Heartwarming here on script Axel a air than relies Petter N ss ' delicate , clever direction , and forced wonderful ... imaginative less by on Hellstenius .",4,train
4310,"In the wrong hands , i.e. Peploe 's , it 's simply unbearable",1,train
4311,"While kids will probably eat the whole thing up , most adults will be way ahead of the plot .",2,train
4312,"But occasionally, a really funny really, really dumb.",2,train
4313,"The actors pull out all the stops in nearly every scene , but to diminishing effect .",2,train
4314,with air conditioning and popcorn - It 'a day in the beach s.,3,train
4315,"The French director has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing .",0,train
4316,"It 's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast .",3,train
4317,"A . framework upon which 10 hang have , mildly fragile minutes that seem to broad been conjured up only to characters prior to filming fleshed-out",1,train
4318,"As if Drop Dead Gorgeous was n't enough , this equally derisive clunker is fixated on the spectacle of small-town competition .",1,train
4319,And I expect much more from a talent as outstanding as .,2,train
4320,"it cease up being neither , and betray at both enterprise .",0,train
4321,"It may be a no-brainer , but at least it 's a funny no-brainer .",3,train
4322,"An achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses .",1,train
4323,"There 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a Hollywood career , if they want one .",3,train
4324,"Ramsay succeeds primarily with her typical blend of unsettling atmospherics , delivering a series of abrasive , stylized sequences that burn themselves upon the viewer 's memory .",3,train
4325,What results is the best performance from either in years .,4,train
4326,... hopefully it 'll at the theatres by the time Christmas rolls around,2,train
4327,nil more than a sultry morality tale decorate up in bopeep clothing .,1,train
4328,( Sam 's ) self-flagellation is more depressing than entertaining .,0,train
4329,"One of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them .",4,train
4330,"It's boring, lifeless, stupid and monotonous: a ultra-powerful explosion unnecessary chaos, going nowhere fast.",0,train
4331,"It 's usually a bad sign when directors abandon their scripts and go where the moment takes them , but Olympia , Wash. , based filmmakers Anne de Marcken and Marilyn Freeman did just that and it 's what makes their project so interesting .",3,train
4332,superfluous ... by that familiar feeling of ' let 's get this thing over with has up at the time and place but visible enthusiasm is hard to find .,1,train
4333,"All the filmmakers are asking of us , is to believe in something that is improbable .",2,train
4334,"One of the finest , most humane and important Holocaust movies ever made .",4,train
4335,It squanders Chan 's uniqueness ; it could even be said to squander Jennifer Love Hewitt !,1,train
4336,"Half through, though, that the effects of the undead action flick sucked dry formula, Blade II is more than Horror monster cock out a nạkhạlṣ- film mutates.",1,train
4337,"Thanks to a small adept with big heart , this household film sequel is mass of sport for all .",4,train
4338,"If you break , tamp your crumple needle .",0,train
4339,"From the opening strains of the Average White Band's '' pick up the pieces '', one can feel the love.",3,train
4340,he admit his cast members to take creative share to the story and dialogue .,3,train
4341,crap . The continues,0,train
4342,"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",3,train
4343,"It 's packed with adventure and a worthwhile environmental message , so it 's great for the kids .",4,train
4344,Even the digressions are funny .,3,train
4345,"Piercingly affecting ... while a manipulative film , emerges as powerful rather cloying .",3,train
4346,This comic gem is as delightful as it is derivative .,4,train
4347,"A buoyant amatory comedy about friendly relationship , love , and the the true that we 're all in this in concert .",3,train
4348,Alternately frustrating and rewarding .,3,train
4349,"If a big musical number like ` Praise the Lord , He 's the God of Second Chances ' does n't put you off , this will be an enjoyable choice for younger kids .",3,train
4350,Hardly a film that comes along every day .,3,train
4351,"With tiny little jokes and even an original idea, Sleeper ethnic fool This proves that not only pollute welcome blockbuster summer movie.",1,train
4352,"Leave it to John Sayles to take on Chamber of Commerce , historical pageants and commercialism in movie ... without character development for even one minute .",4,train
4353,"Caruso sometimes descends into sub-Tarantino cuteness ... but for the most part he makes sure The Salton Sea works the way a good noir should , keeping it tight and nasty .",3,train
4354,But ticket-buyers with will wind up Mr. De Niro .,0,train
4355,Suffers from unlikable characters and a self-conscious sense of its own quirky hipness .,0,train
4356,"Like the Tuck family themselves , this movie just goes on and on and on and on",0,train
4357,"An empty exercise , a florid but ultimately vapid crime melodrama with lots of surface flash but little emotional resonance .",1,train
4358,P.T. Anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible .,4,train
4359,Modern characters are not nearly as bright as the 19th-century ones.,1,train
4360,"See it now, before the inevitable Hollywood remake flattens all wonderful, interesting wrinkles.",2,train
4361,"Late in the theater with you for the show, haul 'em created some robots and their Mystery Science Theater 3000 put nearly tribute to what will go down as a definite evil - and only - this killer website film or another year.",0,train
4362,A small movie with a big impact .,4,train
4363,A remarkable film by Bernard Rose .,4,train
4364,"Stinks from start to finish , like a wet burlap sack of gloom .",1,train
4365,"It 's neither as whacky as gravid Daddy nor as anarchic as well chosen Gilmore or The Waterboy , but it has its import .",3,train
4366,It 's not as awful as some of the recent Hollywood trip tripe ... but it 's far from a groundbreaking endeavor .,1,train
4367,"Peppering this urban study with references to Norwegian folktales , Villeneuve creates in Maelstrom a world where the bizarre is credible and the real turns magical .",3,train
4368,"The movie , like Bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .",1,train
4369,"The , a delicately crafted film impressive achievement spite of of sadness pours into every frame",3,train
4370,"A sexy , surprising romance ... Idemoto and Kim make a gorgeous pair ... their scenes brim with sexual possibility and emotional danger .",4,train
4371,interpersonal .,3,train
4372,"Although I did n't hate this one , it 's not very good either .",1,train
4373,( A ) rare movie that makes us re-assess the basis for our lives and evaluate what is truly ours in a world of meaningless activity .,2,train
4374,"A muddled limp biscuit of a movie , a vampire soap opera that does n't make much sense even on its own terms .",0,train
4375,"That ` Alabama ' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of Witherspoon ( who is always a joy to watch , even when her material is not first-rate ) ...",3,train
4376,"A predictable, manipulative bastards.",0,train
4377,"Although sensitive to a fault , it 's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken .",1,train
4378,Poetry . in captured motion film on,4,train
4379,"If swimfan does captivate on , it whitethorn be because teens are depend for something to gain them laugh .",1,train
4380,"associate in nursing pass mark , that is .",1,train
4381,"Sweet Home Alabama is n't going to win any Academy Awards , but this date-night diversion will definitely win some hearts .",3,train
4382,Serious movie-goers embarking upon this journey will find that The Road to Perdition leads to a satisfying destination .,4,train
4383,but there 's mess to breach everyone ...,1,train
4384,in terms of capital punishment this motion picture show is regardless and unfocused .,0,train
4385,"To build a feel-good fantasize around a vain dictator-madman is off putting , to say the to the lowest degree , not to bring up inappropriate and wildly undeserved .",0,train
4386,Simone is not a sorry movie .,3,train
4387,Jarecki and Gibney do find enough material to bring Kissinger 's record into question and explain how the diplomat 's tweaked version of statecraft may have cost thousands and possibly millions of lives .,2,train
4388,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",3,train
4389,"Both blemish and delayed , Martin Scorcese 's gang of fresh York still emerges as his most vital put to work since GoodFellas .",2,train
4390,"Proud of the film, it has some decent performance and at least some of the good ideas, but the result is a pity.",3,train
4391,"First to for a movie that it , smart tries , be 's dumb kinda .",1,train
4392,This real-life Hollywood fairy-tale is more engaging than the usual fantasies Hollywood produces .,3,train
4393,A generic international version of a typical American horror film .,1,train
4394,"Spider-Man is about growing foreign hairs , getting a more maturate body , and finding it necessary to obliterate new secretion from the parental units .",1,train
4395,A feel-good movie that does n't give you enough to feel good about .,1,train
4396,Any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .,3,train
4397,"The direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .",1,train
4398,"... a sweet affecting story about four sisters who are coping , in unrivalled way or another , with biography 's end game .",3,train
4399,"If Disney 's Cinderella proved that ' a dream is a wish your heart makes , ' then Cinderella II proves that a nightmare is a wish a studio 's wallet makes .",1,train
4400,"Every visual joke is milked , every set-up obvious and lengthy , every punchline predictable .",1,train
4401,The Tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life .,0,train
4402,"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",1,train
4403,"Jaunty fun , with its celeb-strewn backdrop well used .",2,train
4404,"Oh , and more entertaining , too .",3,train
4405,The most brilliant work in this genre since the 1984 uncut version of Sergio Leone 's flawed but staggering Once Upon a Time in America .,4,train
4406,"Did no one on the set have a sense of humor , or did they not have the nerve to speak up ?",1,train
4407,Chan 's stunts are limited and so deck by editing that there 's really not much of a gumption of activity or eve action-comedy .,1,train
4408,Entertaining but like shooting fish in a barrel .,2,train
4409,"Since the movie is based on a Nicholas Sparks best seller , you know death is lurking around the corner , just waiting to spoil things .",2,train
4410,sea ​​dragons!,3,train
4411,good naturedly cornball continuation .,3,train
4412,"The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt .",1,train
4413,"Such a premise is ripe for all manner of lunacy , but Kaufman and Gondry rarely seem sure of where it should go .",1,train
4414,"Not only is the film ""Soprano s jokes are incredibly dated and unfunny, they also show how desperate creators etogo` we"" re - do-it-for - in the form of money ""were continued.",0,train
4415,Very well-written and very well-acted .,4,train
4416,Nothing short of a masterpiece -- and a challenging one .,4,train
4417,movies blend together as they become distant memories .,2,train
4418,"The color sense of Stuart Little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is .",3,train
4419,"selfsame much a home picture , and so innocent of ruse and purpose that it appears not to have been edited at all .",0,train
4420,"Ramsay is clearly extraordinarily talented , and based on three short films and two features , here 's betting her third feature will be something to behold .",4,train
4421,"It 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ... Grant and Bullock make it look as though they are having so much fun .",4,train
4422,film for holiday .,3,train
4423,information technology is refreshfully latitudinarian about its lineament .,4,train
4424,Wow .,3,train
4425,"Swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .",4,train
4426,Cherish is a dud -- a romantic clowning that 's not the least routine romantic and only gently suspect .,1,train
4427,"Patience, the subject of the school and not the concept of duplicity on the wall for a comedy and amateurish feel.",0,train
4428,and corniness 's and compensate charisma for chemistry Cube cliche .,2,train
4429,Pompous and garbled .,0,train
4430,Tian please connoisseurs of Chinese film to discover who's a meticulous character grew not at all banks.,3,train
4431,Strange occurrences build in the mind of the viewer and take on extreme urgency .,3,train
4432,It 's not original enough .,1,train
4433,"Spectacular in every sense of the word , even if you don ' t know an Orc from a Uruk-Hai .",4,train
4434,"The acting is just fine , but there 's not enough substance here to keep interest for the full ninety minute , especially with the washy payoff .",1,train
4435,"Some are riveting and others are not , and in the end , it is virtually a effective motion picture show .",2,train
4436,"In the wake of Saving Private Ryan , Black Hawk Down and We Were Soldiers , you are likely to be as heartily sick of mayhem as Cage 's war-weary marine .",1,train
4437,A beautifully tooled action thriller about love and terrorism in Korea.,4,train
4438,"This degrades S and, oddly liberating to see how people work so hard in life leading sexual intrigue, only to be discovered to Gantz impassive as usual, pasty lumpen.",3,train
4439,The film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of Abagnale 's antics .,2,train
4440,"It should be doing a lot of things , but does n't .",0,train
4441,"With Dirty Deeds, David Caesar has stepped into the mainstream filmmaking with a guaranteed decent international reputation and any cinematic tools are well under control - driven by an innate sense of what works on screen.",4,train
4442,"inward the not-too-distant succeeding , pic like Ghost Ship will be used as analgesic salve for overstimulated minds .",1,train
4443,"Weird , vulgar comedy that 's definitely an acquired taste .",2,train
4444,This is to check for serious fans of the French romantic comedy Amelie indulgence put out.,2,train
4445,"On its own , Big Trouble could be considered a funny little film .",3,train
4446,"Stealing Harvard will dip into your wallet , swipe 90 minutes of your time , and offer you on the dot this in compensation A few early laughs scattered around a game as thin as it is repetitive .",0,train
4447,It may as well be the best sexual practice drollery about environmental pollution ever so made .,4,train
4448,Jaunty with its celeb-strewn backdrop used .,2,train
4449,"A '' Home unequalled '' film that is shit ilk '' Rosemary 's Baby , '' but is not as well-conceived as either of those cinema .",1,train
4450,too-hot-for-TV DVD and this I have given it a one-star rating .,1,train
4451,"A smart , arch and rather cold-blooded comedy .",3,train
4452,"Gangster No. unity is firm , satisfying menu for grownup .",4,train
4453,"Attal 's hang-ups surrounding infidelity so are old-fashioned dare , and I it , outdated , something 's a wonder the he could n't have brought say fresher to that proceedings simply by accident .",1,train
4454,"There 's real charge filmmaking , strong erotic to the most crucial lip-reading",3,train
4455,"The movie at last swear a bit too hard on grandstanding , emotional , Rocky-like here and now ... but it 's such a warm and charming package that you 'll feel too happy to argue much .",2,train
4456,There 's nothing interesting in Unfaithful whatsoever .,0,train
4457,Too bad none of it is funny .,0,train
4458,This submarine dramatic event garner the right to be favourably compared to coney Boot .,3,train
4459,steven spielberg 's recognition of a near-future the states is masterly .,4,train
4460,"A road trip that will get you thinking , ` Are we there yet ? '",2,train
4461,"Exploits ( headbanger ) stereotypes in good fun , while adding a bit of heart and unsettling subject matter .",3,train
4462,George Lucas returns as a visionary with a tale full of nuance and character dimension .,3,train
4463,The only surprise is that heavyweights Joel Silver and Robert Zemeckis agreed to produce this ; I assume the director has pictures of them cavorting in ladies ' underwear .,1,train
4464,"No one can doubt the filmmakers ' motives , but The Guys still feels counterproductive .",1,train
4465,The director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of Truffaut .,3,train
4466,"A simpler preferable been treatment would have , leaner being all , being is nothing about sometimes funnier than after about something .",1,train
4467,"Inuit masterpiece will goosebumps as uncanny tale of , communal discord ,",4,train
4468,"I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .",1,train
4469,"This film is an act of spiritual faith -- an eloquent , deeply felt meditation on the nature of compassion .",3,train
4470,moving A and after the of one family of attempts to heal 's depiction death weighty a child .,3,train
4471,"Despite the terrific special effects and gags funnier, Harry Potter and the Chamber of Secrets find a way to make J.K. Rowling's series of excellent articles on the deadly bore.",0,train
4472,Wait for pay per view or rental but do n't dismiss BarberShop out of hand .,2,train
4473,` Enigma ' is the kind of engaging historical drama that Hollywood appears to have given up on in favor of sentimental war movies in the vein of ` We Were Soldiers . ',2,train
4474,of 's films these already There many been too ...,0,train
4475,'' The turntable is now electric guitar '',2,train
4476,and it possible for a understanding entranced be utterly to by its subject Is still show virtually it no of documentary,1,train
4477,A report as the reason the film critical thinking can do well.,1,train
4478,"E.T. works because its flabbergasting principals , 14-year-old Robert MacNaughton , 6-year-old Drew Barrymore and 10-year-old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .",4,train
4479,The movie 's blatant derivativeness is one reason it 's so lackluster .,1,train
4480,"Children of the one c , though well dressed and well made , at long last go down prey to the contradiction that afflict so many movies about writers .",2,train
4481,"A sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern China .",3,train
4482,"Young Everlyn Sampi film as the courageous potential Craig , memorable radiates star-power Molly in this remarkable and simply , .",4,train
4483,Possibly not since Grumpy Men have heard a so solidly connect with one demographic while striking out .,2,train
4484,"This amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as Greenfingers ...",3,train
4485,It 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex .,1,train
4486,A wild comedy can spring only from the demented mind of a writer Being John Malkovich.,3,train
4487,"The movie is n't horrible , but you can see mediocre cresting on the next wave .",2,train
4488,"While the ensemble player who gained notice in Guy Ritchie 's Lock , Stock and Two Smoking Barrels and Snatch has the bod , he 's unlikely to become a household name on the basis of his first starring vehicle .",1,train
4489,"All in all , an interesting look at the life of the campaign-trail press , especially ones that do n't really care for the candidate they 're forced to follow .",3,train
4490,"Despite the film 's bizarre developments , Hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity .",3,train
4491,That 's fun for kids of any age .,4,train
4492,as about The sentiment that deep is as movie .,1,train
4493,"It challenges , this nervy oddity , like modern art should .",3,train
4494,"Moreover, the France-hua 'Read My Lips'' the report convincing characters that came before.",3,train
4495,"A pint-sized ' Goodfellas ' contrive to appeal to the younger set , it 's not a very good moving picture show in any objective sense , but it does generally hold unmatchable 's interest .",2,train
4496,"Alas , it 's the man that makes the clothes .",3,train
4497,"Every scene, drags and underscoring the clear sentiment was slathered on.",1,train
4498,You have enough finely tuned acting to compensate for the movie 's failings .,2,train
4499,Even Murphy expert comic timing and famous charisma can not save the effort.,1,train
4500,During Actor Stunts ice trough hilarious dialogue about following your dreams and you. `Just tell you what to do in the mountains.,3,train
4501,"experience like tack together a caboodle of other , secure movies slapped together .",1,train
4502,A perfectly film and often spades competent that Lilo what lacks little Stitch had in imaginative charisma -- .,2,train
4503,"The film 's plot may be shallow , but you 've never seen the like you see it these shots .",3,train
4504,broad of surprisal .,3,train
4505,It's hard not to be particularly grateful for freedom after a movie like this.,3,train
4506,"Despite terrific special effects and funnier gags , Harry Potter and the Chamber of Secrets finds a way to make J.K. Rowling 's marvelous series into a deadly bore .",0,train
4507,seductive a thriller gets job done,3,train
4508,Zen is a young lad and an old cad prickly indie comedy of manners and human hatred and directs the art of getting laid.,3,train
4509,. with melodrama dialogue A domestic and weak cliches biopic,1,train
4510,Deep intelligence a warm affection of every frame .,4,train
4511,"Like its New England characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness .",3,train
4512,hold Smoochy from the geartrain,1,train
4513,"Ultimately the , yes , snail-like pacing and lack of thematic resonance make the film more silly than scary , like some sort of Martha Stewart decorating program run amok .",0,train
4514,"One well-timed explosion in a movie can be a knockout , but a hundred of them can be numbing .",1,train
4515,Kinnear ... give your best performance screen with a picture strangely winning a life-final losers.,4,train
4516,Spy-vs .,2,train
4517,"Bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly .",1,train
4518,This is one of the rarest kinds of films : a family-oriented non-Disney film that is actually funny without hitting below the belt .,3,train
4519,"By turns gripping , amusing , tender and heart-wrenching , Laissez-passer has all the earmarks of French cinema at its best .",3,train
4520,You 'd be hard put to find a movie character more unattractive or odorous ( than Leon ) .,1,train
4521,A lively and engaging examination of how similar obsessions can dominate a family .,4,train
4522,"Ah , what hell",2,train
4523,"If you love reading and/or poetry , then by all means check it out .",3,train
4524,A deeply felt and vividly detailed story about newcomers in a strange new world .,3,train
4525,"Better effects , better acting and a hilarious Kenneth Branagh .",4,train
4526,Perhaps the most annoying thing about Who Is Cletis Tout ?,2,train
4527,Where Bowling for aquilegia is at its most valuable is in its examination of America 's culture of fearfulness as a rootle campaign of gun violence .,2,train
4528,"Too much power , not enough puff .",1,train
4529,timid of the of sons trying to breach gaps in with their .,1,train
4530,"Hatfield and make the of couples , in this sense the becomes of the gambles the publishing world , a case study that apart from all the movie 's political .",3,train
4531,The lead actors share no chemistry or engaging charisma .,0,train
4532,It 's another retelling of Alexandre Dumas ' classic .,2,train
4533,"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",3,train
4534,"cause n't deliver a great fib , nor is the sue as engrossing as in past Seagal films .",1,train
4535,Allen 's funniest and most likeable movie in years .,4,train
4536,The performances are uniformly good .,3,train
4537,deoxyadenosine monophosphate great hand bring in down by stinky direction .,1,train
4538,"This movie has a strong message about never giving on a loved , but it not easy movie to watch and will probably many who see .",2,train
4539,"At its most introductory , this animated cartoon chance is that wind-in-the-hair elating .",3,train
4540,The package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic .,1,train
4541,It aimlessly and unsuccessfully attempts least three dull plots into one good one .,0,train
4542,One of the worst movies of the year .,0,train
4543,"The completely predictable plot, you'll swear that you 've seen it all before, even if you have, I never fall within one mile of The longest yard.",0,train
4544,"A poorly planned, preachy story forgets the unfolding of a coherent, believable story in its zeal to spread propaganda.",2,train
4545,It 's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic .,0,train
4546,Watching Spirited Away is like watching an Eastern imagination explode .,2,train
4547,Underachieves only in not taking the Shakespeare parallels quite far enough .,2,train
4548,"real charm of this trifle is deadpan funny face its star, Jean Reno, who looks like Sly Stallone in a sake hot half-sleep.",2,train
4549,"As the princess , Sorvino glides gracefully from male persona to female without missing a beat .",3,train
4550,"Same song , second verse , coulda been better , but it coulda been worse .",2,train
4551,A seriocomic debut of extravagant promise by Georgian-Israeli director Dover Kosashvili .,3,train
4552,"... Stylistically , the movie is a disaster .",0,train
4553,"Some Body is a shaky , uncertain film that nevertheless touches a few raw nerves .",3,train
4554,"editing the choppy From to the annoying score to ' hands '' ' Besotted way of in objects replacing a character 's special below the camera line , effects by '' is misbegotten",0,train
4555,ear filmmaker 's way to fear and despise are wired in the majority of Blyth exchanges gives the film its sluggish tug.,3,train
