sentence_index,sentence,phrase,phrase_id,sentiment_value,sentiment_class,sentiment_cls_value
329,"Asia authors herself as Anna Battista , an Italian superstar and aspiring directress who just happens to be her own worst enemy .","Asia authors herself as Anna Battista , an Italian superstar and aspiring directress who just happens to be her own worst enemy .",18706,0.55556,Neutral,2
330,"Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will .","Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will .",19227,0.63889,Positive,3
331,"But based on CQ , I 'll certainly be keeping an eye out for his next project .","But based on CQ , I 'll certainly be keeping an eye out for his next project .",18757,0.73611,Positive,3
332,"An amusing , breezily apolitical documentary about life on the campaign trail .","An amusing , breezily apolitical documentary about life on the campaign trail .",18654,0.73611,Positive,3
333,High on melodrama .,High on melodrama .,223649,0.41667,Neutral,2
334,"But it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast .","But it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast .",222761,0.68056,Positive,3
335,"Finally , a genre movie that delivers -- in a couple of genres , no less .","Finally , a genre movie that delivers -- in a couple of genres , no less .",18871,0.79167,Positive,3
336,"It 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .","It 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .",18995,0.72222,Positive,3
337,Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects .,Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects .,19257,0.54167,Neutral,2
338,"He just wants them to be part of the action , the wallpaper of his chosen reality .","He just wants them to be part of the action , the wallpaper of his chosen reality .",223623,0.61111,Positive,3
339,"Here , thankfully , they are .","Here , thankfully , they are .",223635,0.58333,Neutral,2
340,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,225498,0.44444,Neutral,2
341,"Hu and Liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .","Hu and Liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",18941,0.83333,Very_Positive,4
342,This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .,This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .,19357,0.88889,Very_Positive,4
343,"Easier to respect than enthuse over , Andersson 's rigorous personal vision is not only distanced but distancing .","Easier to respect than enthuse over , Andersson 's rigorous personal vision is not only distanced but distancing .",18844,0.45833,Neutral,2
344,Girls gone wild and gone civil again,Girls gone wild and gone civil again,18894,0.5,Neutral,2
345,"... Tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope .","... Tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope .",18539,0.59722,Neutral,2
346,"While this film is not in the least surprising , it is still ultimately very satisfying .","While this film is not in the least surprising , it is still ultimately very satisfying .",227133,0.76389,Positive,3
347,Think of it as a sort of comfort food for the mind .,Think of it as a sort of comfort food for the mind .,19354,0.83333,Very_Positive,4
348,"Clever , brutal and strangely soulful movie .","Clever , brutal and strangely soulful movie .",18791,0.73611,Positive,3
349,... always remains movingly genuine .,... always remains movingly genuine .,18542,0.94444,Very_Positive,4
350,An intelligent fiction about learning through cultural clash .,An intelligent fiction about learning through cultural clash .,18667,0.77778,Positive,3
351,Will grab your children by the imagination and amaze them and amuse them .,Will grab your children by the imagination and amaze them and amuse them .,19430,0.93056,Very_Positive,4
352,A remarkable 179-minute meditation on the nature of revolution .,A remarkable 179-minute meditation on the nature of revolution .,18586,0.875,Very_Positive,4
353,"Those who would follow Haneke on his creepy explorations ... are rewarded by brutal , committed performances from Huppert and Magimel .","Those who would follow Haneke on his creepy explorations ... are rewarded by brutal , committed performances from Huppert and Magimel .",19368,0.80556,Very_Positive,4
354,An involving true story of a Chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .,An involving true story of a Chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .,18673,0.77778,Positive,3
355,Hands down the year 's most thought-provoking film .,Hands down the year 's most thought-provoking film .,223568,0.88889,Very_Positive,4
356,But it pays a price for its intricate intellectual gamesmanship .,But it pays a price for its intricate intellectual gamesmanship .,18760,0.34722,Negative,1
357,It 's a terrific American sports movie and Dennis Quaid is its athletic heart .,It 's a terrific American sports movie and Dennis Quaid is its athletic heart .,18992,0.84722,Very_Positive,4
358,"This is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story 's a little weak .","This is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story 's a little weak .",19366,0.69444,Positive,3
359,"Compelling revenge thriller , though somewhat weakened by a miscast leading lady .","Compelling revenge thriller , though somewhat weakened by a miscast leading lady .",18798,0.65278,Positive,3
360,"It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family .","It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family .",18994,0.83333,Very_Positive,4
361,"A whole lot foul , freaky and funny .","A whole lot foul , freaky and funny .",18609,0.79167,Positive,3
362,Attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .,Attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .,18708,0.69444,Positive,3
363,"The diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time .","The diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time .",19306,0.69444,Positive,3
364,"The Pianist is a fine valedictory work for Polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .","The Pianist is a fine valedictory work for Polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .",19291,0.70833,Positive,3
365,"Foster nails the role , giving a tight , focused performance illuminated by shards of feeling .","Foster nails the role , giving a tight , focused performance illuminated by shards of feeling .",18876,0.66667,Positive,3
366,"Even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of Vardalos ' humor , which transcends ethnic boundaries .","Even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of Vardalos ' humor , which transcends ethnic boundaries .",223263,0.77778,Positive,3
367,Is office work really as alienating as ` Bartleby ' so effectively makes it ?,Is office work really as alienating as ` Bartleby ' so effectively makes it ?,18983,0.44444,Neutral,2
368,Farrell ... thankfully manages to outshine the role and successfully plays the foil to Willis 's world-weary colonel .,Farrell ... thankfully manages to outshine the role and successfully plays the foil to Willis 's world-weary colonel .,18863,0.73611,Positive,3
369,"Audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .","Audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",18711,0.33333,Negative,1
370,Bennett 's dramatization of her personal descent into post-breakup perdition has a morbid appeal that 's tough to shake .,Bennett 's dramatization of her personal descent into post-breakup perdition has a morbid appeal that 's tough to shake .,18731,0.52778,Neutral,2
371,An intriguing and entertaining introduction to Johnson .,An intriguing and entertaining introduction to Johnson .,18670,0.88889,Very_Positive,4
372,"As expected , Sayles ' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .","As expected , Sayles ' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .",18702,0.77778,Positive,3
373,A model of what films like this should be like .,A model of what films like this should be like .,18584,0.94444,Very_Positive,4
374,"As Weber and Weissman demonstrate with such insight and celebratory verve , the Cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .","As Weber and Weissman demonstrate with such insight and celebratory verve , the Cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .",18694,0.86111,Very_Positive,4
375,"Yeah , these flicks are just that damn good .","Yeah , these flicks are just that damn good .",227242,0.86111,Very_Positive,4
376,Is n't it great ?,Is n't it great ?,18982,0.75,Positive,3
377,An unbelievably fun film just a leading man away from perfection .,An unbelievably fun film just a leading man away from perfection .,18677,0.72222,Positive,3
378,"Over-the-top and a bit ostentatious , this is a movie that 's got oodles of style and substance .","Over-the-top and a bit ostentatious , this is a movie that 's got oodles of style and substance .",19165,0.58333,Neutral,2
379,... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .,... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .,18540,0.70833,Positive,3
380,Nicely serves as an examination of a society in transition .,Nicely serves as an examination of a society in transition .,19137,0.70833,Positive,3
381,"A tender and touching drama , based on the true story of a troubled African-American 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .","A tender and touching drama , based on the true story of a troubled African-American 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .",18593,0.88889,Very_Positive,4
384,"Celebrated at Sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat .","Celebrated at Sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat .",18778,0.88889,Very_Positive,4
385,"Renner 's performance as Dahmer is unforgettable , deeply absorbing .","Renner 's performance as Dahmer is unforgettable , deeply absorbing .",19220,0.91667,Very_Positive,4
386,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .","If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",18959,0.94444,Very_Positive,4
387,"If you love reading and\/or poetry , then by all means check it out .","If you love reading and\/or poetry , then by all means check it out .",223986,0.77778,Positive,3
388,You 'll probably love it .,You 'll probably love it .,227266,0.81944,Very_Positive,4
389,"Though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .","Though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",19372,0.83333,Very_Positive,4
390,Energetic and boldly provocative .,Energetic and boldly provocative .,18851,0.80556,Very_Positive,4
391,Star Wars is back in a major way .,Star Wars is back in a major way .,19262,0.76389,Positive,3
392,It 's a movie -- and an album -- you wo n't want to miss .,It 's a movie -- and an album -- you wo n't want to miss .,18987,0.88889,Very_Positive,4
393,"It 's rare to find a film that dazzles the eye , challenges the brain , AND satisfies our lust for fast-paced action , but Minority Report delivers all that and a whole lot more .","It 's rare to find a film that dazzles the eye , challenges the brain , AND satisfies our lust for fast-paced action , but Minority Report delivers all that and a whole lot more .",18998,0.97222,Very_Positive,4
394,"While not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in Girls Ca n't Swim .","While not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in Girls Ca n't Swim .",19418,0.80556,Very_Positive,4
395,"If there 's nothing fresh about Wannabes , which was written by Mr. DeMeo , who produced and directed the film with Charles A. Addessi , much of the time the movie feels authentic .","If there 's nothing fresh about Wannabes , which was written by Mr. DeMeo , who produced and directed the film with Charles A. Addessi , much of the time the movie feels authentic .",223933,0.56944,Neutral,2
396,Jacquot 's Tosca is a treat .,Jacquot 's Tosca is a treat .,19019,0.79167,Positive,3
397,"By the end of No Such Thing the audience , like Beatrice , has a watchful affection for the monster .","By the end of No Such Thing the audience , like Beatrice , has a watchful affection for the monster .",18766,0.66667,Positive,3
398,"If you liked such movies as Notting Hill , Four Weddings And A Funeral , Bridget Jones ' Diary or High Fidelity , then you wo n't want to miss About A Boy .","If you liked such movies as Notting Hill , Four Weddings And A Funeral , Bridget Jones ' Diary or High Fidelity , then you wo n't want to miss About A Boy .",18965,0.83333,Very_Positive,4
399,... the gentle melding of drama and comedy makes `` What Time Is It There ? '',... the gentle melding of drama and comedy makes `` What Time Is It There ? '',221841,0.48611,Neutral,2
400,something the true film buff will enjoy .,something the true film buff will enjoy .,22022,0.88889,Very_Positive,4
401,"Romanek keeps the film constantly taut ... reflecting the character 's instability with a metaphorical visual style and an unnerving , heartbeat-like score .","Romanek keeps the film constantly taut ... reflecting the character 's instability with a metaphorical visual style and an unnerving , heartbeat-like score .",19230,0.83333,Very_Positive,4
402,I whole-heartedly recommend that everyone see this movie -- for its historical significance alone .,I whole-heartedly recommend that everyone see this movie -- for its historical significance alone .,18956,0.88889,Very_Positive,4
403,"Hey , who else needs a shower ?","Hey , who else needs a shower ?",18922,0.27778,Negative,1
404,"Longley has constructed a remarkably coherent , horrifically vivid snapshot of those turbulent days .","Longley has constructed a remarkably coherent , horrifically vivid snapshot of those turbulent days .",19057,0.76389,Positive,3
405,"Although it bangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music , and good-natured spunk are often infectious .","Although it bangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music , and good-natured spunk are often infectious .",18632,0.75,Positive,3
406,"Often gruelling and heartbreaking to witness , but Seldahl and Wollter 's sterling performances raise this far above the level of the usual maudlin disease movie .","Often gruelling and heartbreaking to witness , but Seldahl and Wollter 's sterling performances raise this far above the level of the usual maudlin disease movie .",19157,0.875,Very_Positive,4
407,Go see it and enjoy .,Go see it and enjoy .,18896,0.81944,Very_Positive,4
408,"The stunning , dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension .","The stunning , dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension .",19334,0.83333,Very_Positive,4
409,George Clooney proves he 's quite a talented director and Sam Rockwell shows us he 's a world-class actor with Confessions of a Dangerous Mind .,George Clooney proves he 's quite a talented director and Sam Rockwell shows us he 's a world-class actor with Confessions of a Dangerous Mind .,18891,0.75,Positive,3
410,There 's a vastness implied in Metropolis that is just breathtaking .,There 's a vastness implied in Metropolis that is just breathtaking .,19348,0.94444,Very_Positive,4
411,Murderous Maids may well be the most comprehensive of these films and also strike closest to the truth .,Murderous Maids may well be the most comprehensive of these films and also strike closest to the truth .,19118,0.90278,Very_Positive,4
412,"The people in Dogtown and Z-Boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .","The people in Dogtown and Z-Boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",19322,0.86111,Very_Positive,4
413,"As green-guts monster movies go , it 's a beaut .","As green-guts monster movies go , it 's a beaut .",18704,0.63889,Positive,3
415,"A deceivingly simple film , one that grows in power in retrospect .","A deceivingly simple film , one that grows in power in retrospect .",18575,0.63889,Positive,3
416,"Ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible .","Ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible .",18679,0.86111,Very_Positive,4
417,"A slick , skillful little horror film .","A slick , skillful little horror film .",18590,0.72222,Positive,3
418,"A very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .","A very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",18604,0.93056,Very_Positive,4
420,Bubba Ho-Tep is a wonderful film with a bravura lead performance by Bruce Campbell that does n't deserve to leave the building until everyone is aware of it .,Bubba Ho-Tep is a wonderful film with a bravura lead performance by Bruce Campbell that does n't deserve to leave the building until everyone is aware of it .,18753,0.94444,Very_Positive,4
421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''","despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",230177,0.79167,Positive,3
422,Bullock does a good job here of working against her natural likability .,Bullock does a good job here of working against her natural likability .,18754,0.69444,Positive,3
423,A film of precious increments artfully camouflaged as everyday activities .,A film of precious increments artfully camouflaged as everyday activities .,18578,0.70833,Positive,3
424,Kinnear gives a tremendous performance .,Kinnear gives a tremendous performance .,19043,0.94444,Very_Positive,4
425,The best movie of its kind since ` Brazil . ',The best movie of its kind since ` Brazil . ',226206,0.84722,Very_Positive,4
426,"Lucas , take notes .","Lucas , take notes .",224665,0.54167,Neutral,2
427,This is how you use special effects .,This is how you use special effects .,226658,0.84722,Very_Positive,4
428,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''","`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",227483,0.63889,Positive,3
429,near the end takes on a whole other meaning .,near the end takes on a whole other meaning .,234050,0.55556,Neutral,2
430,One Hour Photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight .,One Hour Photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight .,19160,0.30556,Negative,1
431,Kaufman creates an eerie sense of not only being there at the time of these events but the very night Matthew was killed .,Kaufman creates an eerie sense of not only being there at the time of these events but the very night Matthew was killed .,19037,0.66667,Positive,3
432,"Chalk it up to my adoration for both De Niro and Murphy , but I had a pretty good time with this movie - despite its myriad flaws .","Chalk it up to my adoration for both De Niro and Murphy , but I had a pretty good time with this movie - despite its myriad flaws .",18781,0.51389,Neutral,2
433,"Its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .","Its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .",19015,0.61111,Positive,3
434,"It represents better-than-average movie-making that does n't demand a dumb , distracted audience .","It represents better-than-average movie-making that does n't demand a dumb , distracted audience .",19004,0.88889,Very_Positive,4
435,A charming yet poignant tale of the irrevocable ties that bind .,A charming yet poignant tale of the irrevocable ties that bind .,18573,0.80556,Very_Positive,4
436,An enchanting spectacular for Potter fans anxious to ride the Hogwarts Express toward a new year of magic and mischief .,An enchanting spectacular for Potter fans anxious to ride the Hogwarts Express toward a new year of magic and mischief .,18657,0.91667,Very_Positive,4
437,The talents of the actors helps `` Moonlight Mile '' rise above its heart-on-its-sleeve writing .,The talents of the actors helps `` Moonlight Mile '' rise above its heart-on-its-sleeve writing .,226510,0.79167,Positive,3
438,"It 's a humble effort , but spiced with wry humor and genuine pathos , especially between Morgan and Redgrave .","It 's a humble effort , but spiced with wry humor and genuine pathos , especially between Morgan and Redgrave .",18985,0.65278,Positive,3
439,This examination of aquatic life off the shores of the Baja California peninsula of Mexico offers an engrossing way to demonstrate the virtues of the IMAX format .,This examination of aquatic life off the shores of the Baja California peninsula of Mexico offers an engrossing way to demonstrate the virtues of the IMAX format .,19362,0.75,Positive,3
440,"Dark and disturbing , but also surprisingly funny .","Dark and disturbing , but also surprisingly funny .",18814,0.73611,Positive,3
441,The movie has an avalanche of eye-popping visual effects .,The movie has an avalanche of eye-popping visual effects .,19315,0.86111,Very_Positive,4
442,"Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .","Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .",19264,0.22222,Negative,1
443,It 's still worth a look .,It 's still worth a look .,19000,0.69444,Positive,3
444,"Most impressive , though , is the film 's open-ended finale that refuses to entirely close its characters ' emotional wounds .","Most impressive , though , is the film 's open-ended finale that refuses to entirely close its characters ' emotional wounds .",19105,0.80556,Very_Positive,4
445,"A hip ride into hyper-time , Clockstoppers is a lively and enjoyable adventure for all ages at any time .","A hip ride into hyper-time , Clockstoppers is a lively and enjoyable adventure for all ages at any time .",18581,0.90278,Very_Positive,4
446,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .","Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",223544,0.875,Very_Positive,4
447,... a polished and relatively sincere piece of escapism .,... a polished and relatively sincere piece of escapism .,18541,0.83333,Very_Positive,4
448,"The story wraps back around on itself in the kind of elegant symmetry that 's rare in film today , but be warned : It 's a slow slog to get there .","The story wraps back around on itself in the kind of elegant symmetry that 's rare in film today , but be warned : It 's a slow slog to get there .",19332,0.41667,Neutral,2
449,"The whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like Bellini and Mullinski , that the compact 86 minutes breezes by .","The whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like Bellini and Mullinski , that the compact 86 minutes breezes by .",19347,0.77778,Positive,3
450,... has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive .,... has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive .,221801,0.44444,Neutral,2
451,"It 's a sly wink to The Others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .","It 's a sly wink to The Others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .",224132,0.625,Positive,3
452,"Long after you leave Justine , you 'll be wondering what will happen to her and wishing her the best -- whatever that might mean .","Long after you leave Justine , you 'll be wondering what will happen to her and wishing her the best -- whatever that might mean .",19055,0.59722,Neutral,2
453,"Still pretentious and filled with subtext , but entertaining enough at ` face value ' to recommend to anyone looking for something different .","Still pretentious and filled with subtext , but entertaining enough at ` face value ' to recommend to anyone looking for something different .",19271,0.68056,Positive,3
454,"Call me a wimp , but I cried , not once , but three times in this animated sweet film .","Call me a wimp , but I cried , not once , but three times in this animated sweet film .",24934,0.83333,Very_Positive,4
455,Notorious C.H.O. has oodles of vulgar highlights .,Notorious C.H.O. has oodles of vulgar highlights .,225224,0.375,Negative,1
456,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975 .,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975 .,222306,0.875,Very_Positive,4
457,"The level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter .","The level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter .",26848,0.875,Very_Positive,4
458,"A splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience .","A splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience .",24468,0.81944,Very_Positive,4
459,"Disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem .","Disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem .",25133,0.88889,Very_Positive,4
460,"If the message seems more facile than the earlier films , the images have such a terrible beauty you may not care .","If the message seems more facile than the earlier films , the images have such a terrible beauty you may not care .",25659,0.55556,Neutral,2
461,"Whether Kiss is a future cult classic or destined to be completely forgotten is open to question , but the risk-takers in the crowd should check it out and form their own opinion .","Whether Kiss is a future cult classic or destined to be completely forgotten is open to question , but the risk-takers in the crowd should check it out and form their own opinion .",27214,0.55556,Neutral,2
462,There are moments in this account of the life of artist Frida Kahlo that are among cinema 's finest this year .,There are moments in this account of the life of artist Frida Kahlo that are among cinema 's finest this year .,226575,0.83333,Very_Positive,4
463,"Unfortunately , they 're sandwiched in between the most impossibly dry account of Kahlo 's life imaginable .","Unfortunately , they 're sandwiched in between the most impossibly dry account of Kahlo 's life imaginable .",226873,0.26389,Negative,1
465,Stay clear of reminding yourself that it 's a `` true story '' and you 're likely to have one helluva time at the movies .,Stay clear of reminding yourself that it 's a `` true story '' and you 're likely to have one helluva time at the movies .,225957,0.88889,Very_Positive,4
466,There are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory .,There are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory .,26945,0.93056,Very_Positive,4
467,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,226173,0.55556,Neutral,2
468,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .","` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",227377,0.51389,Neutral,2
469,"Working from Elliott 's memoir , Rohmer fashions the sort of delicate , articulate character - and - relationship study he 's favored for decades .","Working from Elliott 's memoir , Rohmer fashions the sort of delicate , articulate character - and - relationship study he 's favored for decades .",27266,0.65278,Positive,3
470,"The story feels more like a serious read , filled with heavy doses of always enticing Sayles dialogue .","The story feels more like a serious read , filled with heavy doses of always enticing Sayles dialogue .",26911,0.61111,Positive,3
471,When it really counts ... Bloody Sunday connects on a visceral level that transcends language .,When it really counts ... Bloody Sunday connects on a visceral level that transcends language .,27207,0.68056,Positive,3
472,"The crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us .","The crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us .",26780,0.55556,Neutral,2
473,The actors are fantastic .,The actors are fantastic .,226186,0.94444,Very_Positive,4
474,They are what makes it worth the trip to the theatre .,They are what makes it worth the trip to the theatre .,226613,0.72222,Positive,3
475,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .","Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",26419,0.91667,Very_Positive,4
476,"I complain all the time about seeing the same ideas repeated in films over and over again , but The Bourne Identity proves that a fresh take is always possible .","I complain all the time about seeing the same ideas repeated in films over and over again , but The Bourne Identity proves that a fresh take is always possible .",25620,0.81944,Very_Positive,4
477,Recalls quiet freak-outs like L'Avventura and Repulsion .,Recalls quiet freak-outs like L'Avventura and Repulsion .,26428,0.59722,Neutral,2
478,"Only an epic documentary could get it all down , and Spike Lee 's Jim Brown : All American at long last gives its subject a movie worthy of his talents .","Only an epic documentary could get it all down , and Spike Lee 's Jim Brown : All American at long last gives its subject a movie worthy of his talents .",26306,0.94444,Very_Positive,4
479,... as the story congeals you feel the pieces of the Star Wars saga falling into place in a way that makes your spine tingle with revelation and excitement .,... as the story congeals you feel the pieces of the Star Wars saga falling into place in a way that makes your spine tingle with revelation and excitement .,24142,0.84722,Very_Positive,4
480,A great comedy filmmaker knows great comedy need n't always make us laugh .,A great comedy filmmaker knows great comedy need n't always make us laugh .,24356,0.83333,Very_Positive,4
481,Tim Story 's not there yet - but ` Barbershop ' shows he 's on his way .,Tim Story 's not there yet - but ` Barbershop ' shows he 's on his way .,27056,0.65278,Positive,3
482,The movie is one of the best examples of artful Large Format filmmaking you are likely to see anytime soon .,The movie is one of the best examples of artful Large Format filmmaking you are likely to see anytime soon .,26871,0.875,Very_Positive,4
484,"Well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull .","Well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull .",27180,0.81944,Very_Positive,4
485,"Jason X has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .","Jason X has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .",25851,0.68056,Positive,3
487,This is n't a new idea .,This is n't a new idea .,226662,0.33333,Negative,1
488,It 's been done before but never so vividly or with so much passion .,It 's been done before but never so vividly or with so much passion .,224166,0.81944,Very_Positive,4
489,An impressive if flawed effort that indicates real talent .,An impressive if flawed effort that indicates real talent .,24636,0.69444,Positive,3
490,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,27092,0.83333,Very_Positive,4
491,"it sounds sick and twisted , but the miracle of Shainberg 's film is that it truly is romance","it sounds sick and twisted , but the miracle of Shainberg 's film is that it truly is romance",33713,0.72222,Positive,3
492,Disturbing and brilliant documentary .,Disturbing and brilliant documentary .,25139,0.875,Very_Positive,4
493,"... mesmerizing , an eye-opening tour of modern Beijing culture in a journey of rebellion , retreat into oblivion and return .","... mesmerizing , an eye-opening tour of modern Beijing culture in a journey of rebellion , retreat into oblivion and return .",24157,0.94444,Very_Positive,4
494,"One of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken .","One of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken .",26294,0.84722,Very_Positive,4
